YesText#0,"""Yes"""
PokaRanking_PrizeMessage#0,"""Cowwect youw battwe wanking wewawd fwom AWKS Weague Admin Mimi."""
Confirm_Title#1,"""Ship Twansfew Confiwmation"""
Confirm_Message#1,"""The following conditions will take effect<br>while in a shared ship challenge block.<br>  ・[Challenger] class only<br>  ・PAs, techniques, class skills unlearned<br>  ・No Meseta, CC or on-hand items allowed<br>  ・Usage of storage, rooms and team rooms not allowed<br>  ・Emergency quest notifications are hidden<br>  ・Dedicated friend list, mail and symbol art<br>  ・Friendship gauge hidden<br><red>※All conditions will return to normal upon leaving the shared ship.<c><br><br>Go to shared ship challenge lobby?"""
Confirm_Title_InBlock#1,"""Bwock Twansfew Confiwmation"""
Confirm_Message_InBlock#1,"""This will move you to the Challenge Blocks.<br>The following are what will change in the blocks:<br><br>・Challenger-only class at level 1.<br>・PA, Techniques, Class Skills, Meseta,<br>  Casino Coins or Items do not carry over.<br>・You cannot deposit or access your storage.<br>・Affection gauges will not be displayed.<br><br><red>※Leaving the Challenge Block will return<br>  the above changes to normal when you leave.<c><br><br>Do you wish to move to the Challenge Blocks?"""
Confirm_Title_InNormal#1,"""Ship twansfew confiwmation"""
Confirm_Message_InNormal#1,"""This will return you to your original ship.<br>The following will be returned to normal:<br><br>・Friends, mails and symbol arts that were<br> registered.<br>・Challenge Mile Rankings and Battle Arena<br> Rankings will not be displayed on your original<br> ship and will be aggregated separately from<br> your rank information.<br><br><yellow>※Your login history will display that you've<br> logon again.<c><br><br><red>※You will still be able to return back to the<br> shared ship once you've moved to your<br> original ship.<c><br><br>Do you wish to move back to your original ship?"""
ShopTitleText#1,"""CM Exchange Shop"""
ShopGuideText#1,"""<c f0df60>Exchange your Challenge Miles for items.<c>"""
ShopListTitle#1,"""Shop Menu"""
PluralityMenuGuide#1,"""<c f0df60>Please select a shop.<c>"""
Exit#1,"""Weave Shop"""
Buy#1,"""Buy"""
NameNumber#1,"""$(0) x$(1)"""
BuyTitle#1,"""Puwchase Confiwmation"""
BuyCheck#1,"""These items will cost $(1) $(0).<br>Continue with purchase?"""
CPDenomination#1,"""CM"""
BuyResultMessage1#1,"""Puwchase compwete."""
BuyErrorMessage2#1,"""You lack free space in your inventory,<br> or you have too many of the items you are buying.<br>Purchase could not be completed."""
CPInsufficient#1,"""Insufficient CM."""
BuyResultMessage2#1,"""Unabwe to compwete youw puwchase."""
BuyResultTitle#1,"""Item Puwchase"""
CancelTitle#1,"""Confiwm Puwchase Cancewwation"""
CancelMessage#1,"""This wiww cancew the puwchase. Continue?"""
SelectItemInputVita#1,"""Pwease entew an amount."""
MenuErrorTitle#1,"""Message"""
MenuErrorMessage#1,"""「CM交換ショップ2」は、<br><yellow>チャレンジクエスト「MISSION：決断」を<br>ミッション3までクリアすることで利用可能となります。<c><br><br>チャレンジクエスト「MISSION：決断」のミッション3を<br>クリアしていないため、利用することができません。"""
ChallengePoint#0,"""所持チャレンジマイル"""
BlackbordCharaName#0,"""Chawactew Name"""
BlackbordPlayerIDname#0,"""Pwayew ID Name"""
BlackbordTime#0,"""Posted"""
BlackbordMessage#0,"""Post Message"""
BlackbordTitleText#0,"""Message Boawd"""
BlackbordTitleTextTeam#0,"""Team Buwwetin Boawd"""
Blackbord_InputMessage#0,"""Input the message you want to post. """
Blackbord_InputMessageTeam#0,"""Input the message you want to post on<br>the team blackboard. """
Blackbord_NoMessage#0,"""There are no messages.<br>Enter a message then press<br>\""Post Message\"" to confirm."""
Blackbord_MessageWriteError#0,"""You were unable to post<br>your message.<br><br>Please wait a little while,<br>and try again."""
Blackbord_WriteToast#0,"""Youw message has been posted."""
Blackbord_DeleteMessage#0,"""The selected message will be deleted.<br>Is this okay?"""
Blackbord_DeleteToast#0,"""The message has been deweted."""
Blackbord_MessageDeleteError#0,"""You were unable to delete<br>the message.<br><br>Please wait a little while,<br>and try again."""
Blackbord_NoMessageTitle#0,"""Empty Message Confiwmation"""
Blackbord_MessageWriteErrorTitle#0,"""Message Post Ewwow"""
Blackbord_DeleteMessageTitle#0,"""Dewete Message Confiwmation"""
Blackbord_MessageDeleteErrorTitle#0,"""Dewete Message Ewwow"""
Blackbord_InputMessage_Announce#0,"""※Pwess [Alt]+[Entew] to add a new wine"""
Logout_Title#0,"""Log Out"""
Logout_GameEnd#0,"""Exit Game"""
Logout_GotoTitle#0,"""Wetuwn to the Titwe"""
Logout_GotoShipSelect#0,"""Wetuwn to Ship Sewect"""
Logout_Cancel#0,"""Wetuwn"""
Logout_Close_Title#0,"""Exit Game"""
Logout_Close_Message#0,"""Awe you suwe you want to exit?"""
TargetInfo_WeakPoint#0,"""Weak:"""
TargetInfo_Level#0,"""Lv.$(0)"""
TargetInfo_Ability#0,"""×$(0)"""
TargetInfo_Resist#0,"""Wesists: """
INTERRUPT_CODE_ATTACK#0,"""[ATTACK]"""
INTERRUPT_CODE_PROTECTION#0,"""[PWOTECTION]"""
INTERRUPT_CODE_ELIMINATION#0,"""[EWIMINATION]"""
INTERRUPT_CODE_COLLECT#0,"""[COWWECT]"""
INTERRUPT_CODE_DUEL#0,"""[DUEW]"""
INTERRUPT_CODE_CHASE#0,"""[CHASE]"""
INTERRUPT_CODE_ARREST#0,"""[AWWEST]"""
INTERRUPT_CODE_RESCUE#0,"""[WESCUE]"""
INTERRUPT_CODE_DESTRUCTION#0,"""[DESTWUCTION]"""
INTERRUPT_CODE_AVOID#0,"""[AVOID]"""
INTERRUPT_CODE_CAPTURE#0,"""[CAPTUWE]"""
INTERRUPT_CODE_ESCORT#0,"""[ESCOWT]"""
INTERRUPT_CODE_PRESENT#0,"""[PWESENT]"""
INTERRUPT_CODE_CLONE#0,"""[CWONE]"""
INTERRUPT_CODE_GESTURE#0,"""[GESTUWE]"""
INTERRUPT_CODE_VANISH#0,"""[VANISH]"""
INTERRUPT_CODE_OFFENSIVE#0,"""[OFFENSIVE]"""
INTERRUPT_CODE_INTERCEPT#0,"""[INTEWCEPT]"""
INTERRUPT_CODE_FOLLOW#0,"""[FOWWOW]"""
INTERRUPT_CODE_UNITE#0,"""[UNITE]"""
INTERRUPT_CODE_SEARCH#0,"""[SEAWCH]"""
INTERRUPT_CODE_HIDE#0,"""[HIDE]"""
INTERRUPT_CODE_BASH#0,"""[BASH]"""
INTERRUPT_CODE_TEST#0,"""[TEST]"""
INTERRUPT_CODE_UNKNOWN#0,"""[UNKNOWN]"""
INTERRUPT_CODE_QUICK#0,"""[QUICK]"""
INTERRUPT_CODE_PERSONA#0,"""[PEWSONA]"""
INTERRUPT_CODE_JUDGEMENT#0,"""[JUDGEMENT]"""
INTERRUPT_CODE_FORTUNE#0,"""[FOWTUNE]"""
INTERRUPT_CODE_JOKER#0,"""[JOKEW]"""
INTERRUPT_CODE_ABYSS#0,"""[ABYSS]"""
INTERRUPT_CODE_EXPLOSION#0,"""[EXPWOSION]"""
INTERRUPT_CODE_VARIANT#0,"""[VAWIANT]"""
INTERRUPT_CODE_DISASTER#0,"""[DISASTEW]"""
INTERRUPT_CODE_CHALLENGE#0,"""[CHAWWENGE]"""
INTERRUPT_CODE_CONTROL#0,"""[CONTWOW]"""
INTERRUPT_CODE_DEFEAT#0,"""[DEFEAT]"""
INTERRUPT_CODE_FEAR#0,"""[FEAW]"""
INTERRUPT_CODE_FUSION#0,"""[FUSION]"""
INTERRUPT_CODE_JAMMER#0,"""[JAMMEW]"""
INTERRUPT_CODE_KEEP#0,"""[KEEP]"""
INTERRUPT_CODE_KILLER#0,"""[KIWWEW]"""
INTERRUPT_CODE_MANAGE#0,"""[MANAGE]"""
INTERRUPT_CODE_NEGOTIATION#0,"""[NEGOTIATION]"""
INTERRUPT_CODE_REGIST#0,"""[WEGIST]"""
INTERRUPT_CODE_SACRIFICE#0,"""[SACWIFICE]"""
INTERRUPT_CODE_SNIPE#0,"""[SNIPE]"""
INTERRUPT_SUCCESS_CODE_ATTACK#0,"""code [ATTACK]"""
INTERRUPT_SUCCESS_CODE_PROTECTION#0,"""code [PWOTECTION]"""
INTERRUPT_SUCCESS_CODE_ELIMINATION#0,"""code [EWIMINATION]"""
INTERRUPT_SUCCESS_CODE_COLLECT#0,"""code [COWWECT]"""
INTERRUPT_SUCCESS_CODE_DUEL#0,"""code [DUEW]"""
INTERRUPT_SUCCESS_CODE_CHASE#0,"""code [CHASE]"""
INTERRUPT_SUCCESS_CODE_ARREST#0,"""code [AWWEST]"""
INTERRUPT_SUCCESS_CODE_RESCUE#0,"""code [WESCUE]"""
INTERRUPT_SUCCESS_CODE_DESTRUCTION#0,"""code [DESTWUCTION]"""
INTERRUPT_SUCCESS_CODE_AVOID#0,"""code [AVOID]"""
INTERRUPT_SUCCESS_CODE_CAPTURE#0,"""code [CAPTUWE]"""
INTERRUPT_SUCCESS_CODE_ESCORT#0,"""code [ESCOWT]"""
INTERRUPT_SUCCESS_CODE_PRESENT#0,"""code [PWESENT]"""
INTERRUPT_SUCCESS_CODE_CLONE#0,"""code [CWONE]"""
INTERRUPT_SUCCESS_CODE_GESTURE#0,"""code [GESTUWE]"""
INTERRUPT_SUCCESS_CODE_VANISH#0,"""code [VANISH]"""
INTERRUPT_SUCCESS_CODE_OFFENSIVE#0,"""code [OFFENSIVE]"""
INTERRUPT_SUCCESS_CODE_INTERCEPT#0,"""code [INTEWCEPT]"""
INTERRUPT_SUCCESS_CODE_FOLLOW#0,"""code [FOWWOW]"""
INTERRUPT_SUCCESS_CODE_UNITE#0,"""code [UNITE]"""
INTERRUPT_SUCCESS_CODE_SEARCH#0,"""code [SEAWCH]"""
INTERRUPT_SUCCESS_CODE_HIDE#0,"""code [HIDE]"""
INTERRUPT_SUCCESS_CODE_BASH#0,"""code [BASH]"""
INTERRUPT_SUCCESS_CODE_TEST#0,"""code [TEST]"""
INTERRUPT_SUCCESS_CODE_UNKNOWN#0,"""code [UNKNOWN]"""
INTERRUPT_SUCCESS_CODE_QUICK#0,"""code [QUICK]"""
INTERRUPT_SUCCESS_CODE_PERSONA#0,"""code [PEWSONA]"""
INTERRUPT_SUCCESS_CODE_JUDGEMENT#0,"""code [JUDGEMENT]"""
INTERRUPT_SUCCESS_CODE_FORTUNE#0,"""code [FOWTUNE]"""
INTERRUPT_SUCCESS_CODE_JOKER#0,"""code [JOKEW]"""
INTERRUPT_SUCCESS_CODE_EXPLOSION#0,"""code [EXPWOSION]"""
INTERRUPT_SUCCESS_CODE_VARIANT#0,"""code [VAWIANT]"""
INTERRUPT_SUCCESS_CODE_DISASTER#0,"""code [DISASTEW]"""
INTERRUPT_SUCCESS_CODE_CHALLENGE#0,"""code [CHAWWENGE]"""
INTERRUPT_SUCCESS_CODE_CONTROL#0,"""code [CONTWOW]"""
INTERRUPT_SUCCESS_CODE_DEFEAT#0,"""code [DEFEAT]"""
INTERRUPT_SUCCESS_CODE_FEAR#0,"""code [FEAW]"""
INTERRUPT_SUCCESS_CODE_FUSION#0,"""code [FUSION]"""
INTERRUPT_SUCCESS_CODE_JAMMER#0,"""code [JAMMEW]"""
INTERRUPT_SUCCESS_CODE_KEEP#0,"""code [KEEP]"""
INTERRUPT_SUCCESS_CODE_KILLER#0,"""code [KIWWEW]"""
INTERRUPT_SUCCESS_CODE_MANAGE#0,"""code [MANAGE]"""
INTERRUPT_SUCCESS_CODE_NEGOTIATION#0,"""code [NEGOTIATION]"""
INTERRUPT_SUCCESS_CODE_REGIST#0,"""code [WEGIST]"""
INTERRUPT_SUCCESS_CODE_SACRIFICE#0,"""code [SACWIFICE]"""
INTERRUPT_SUCCESS_CODE_SNIPE#0,"""code [SNIPE]"""
QUEST_CLEAR_CODE#0,"""QUEST CWEAW"""
INTERRUPT_TITLE_EMERGENCY#0,"""EMEWGENCY CODE"""
INTERRUPT_TITLE_CHANGE#0,"""CHANGE OVEW CODE"""
INTERRUPT_TITLE_COMPLETE#0,"""COMPWETED"""
INTERRUPT_TITLE_EXCEPTION#0,"""EXCEPTION CODE"""
QuestEndForm_Title#0,"""Confiwm Quest Compwetion"""
QuestEndForm_Exp#0,"""Complete quest and<br>return to the ARKS Lobby?"""
QuestEndForm_Button_Next#0,"""Continue to the next quest"""
QuestEndForm_Button_Back#0,"""Wetuwn to the wobby"""
QuestEndForm_Button_Retry#0,"""Pway the quest again"""
QuestEndForm_Button_Cancel#0,"""Wetuwn"""
QuestEndForm_Button_ExitParty#0,"""Wetuwn to wobby, weave the pawty"""
QuestEndForm_Button_Retry_InBlock#0,"""Wetwy in cuwwent bwock"""
QuestEndForm_Button_Retry_GroupBlock#0,"""Wetwy with muwtipwe bwocks"""
Chat_Kakin_LobyAction#0,"""To pewfowm this wobby action, the cowwesponding ticket is needed."""
Chat_Lobby_Only_Action#0,"""Cannot be used in the Campship ow fiewd."""
Chat_Use_Public_Chair_Info#0,"""Jump with <%Jump>, stand with <%PhotonArts>."""
Chat_Monomane_Error#0,"""Cannot mimic because [$(0)] has not been weawned."""
FormView_Incident_Title#0,"""E Twiaw Objective"""
FormView_Quest_Title#0,"""Quest Objective"""
MailList_Ship_Title#0,"""Maiw"""
MailList_Account_Title#0,"""-"""
MailList_MessageForm_Title#0,"""Maiw"""
Mail_Normal_Title#0,"""Maiw"""
Mail_Read_Title#0,"""Maiw Detaiws"""
Mail_Send_Title#0,"""Compose Maiw"""
Mail_Edit_Time#0,"""Sent"""
Mail_Edit_Time2#0,"""Weceived"""
Mail_Edit_To#0,"""To"""
Mail_Edit_From#0,"""Fwom"""
Mail_Edit_Subject#0,"""Subject"""
Mail_Edit_Body#0,"""Body"""
Mail_Help_ToList#0,"""Choose a wecipient"""
Mail_Init_Mes_ToList#0,"""<gray>Select a recipient<c>"""
Mail_Init_Mes_EditList_PC#0,"""<gray>Please enter a message.<br>※Pressing [Alt]+[Enter] will create a new line.<c>"""
Mail_Init_Mes_EditList_vita#0,"""<gray>Enter text<c>"""
Mail_Button_ToList#0,"""..."""
Mail_Button_Reply#0,"""Wepwy"""
Mail_Button_Send#0,"""Send"""
Mail_Button_Item#0,"""-"""
Mail_Button_Close#0,"""Cwose"""
Mail_Result_ReplyText#0,"""$(0) wrote:<br>"""
Mail_Result_Reply#0,""">"""
Mail_Result_ReplyTitle#0,"""We"""
Mail_Result_ReplySplit#0,""":"""
MailAddress_MessageForm_Title#0,"""Membew"""
MailAddress_Create_Title#0,"""Change Wecipient"""
MailAddress_Button_Reload#0,"""Wefwesh"""
MailAddress_Radio_None#0,"""None"""
MailAddress_Radio_ListFriend#0,"""Fwiend Wist"""
MailAddress_Radio_ListMember#0,"""Team Wist"""
MailList_Tab_All#0,"""1. Dispway Aww"""
MailList_Tab_System#0,"""2. System"""
MailList_Tab_Chara#0,"""3. Chawactew"""
MailList_Tab_ShipFriend#0,"""4. Fwiends and Team"""
MailList_Tab_DailyOrder#0,"""-"""
MailList_Tab_ClientOrder#0,"""-"""
MailList_Tab_Scenario#0,"""-"""
MailList_Tab_Reward#0,"""-"""
MailList_Tab_Transmission#0,"""5. Sent"""
MailList_Button_Reload#0,"""Wefwesh"""
VITA_Mail_Button_Reply#0,"""Wepwy with quote"""
VITA_MailList_CreateMail#0,"""<pict Sign_TRIANGLE>Write new mail"""
MailList_Button_CreateNormalMail#0,"""Compose Maiw"""
MailList_Button_Delete#0,"""Dewete sewected maiw"""
MailList_Button_Next#0,"""Wead next"""
MailList_Menu_Open#0,"""Open"""
MailList_Menu_Delete#0,"""Dewete"""
MailList_Menu_MultiDelete#0,"""Dewete Muwtipwe"""
MailList_Menu_MarkRead#0,"""Mawk as Wead"""
MailList_Menu_MarkUnRead#0,"""Mawk as Unwead"""
MailList_Sort_Receive#0,"""By Date Weceived"""
MailList_Sort_From#0,"""By Sendew/Wecipient"""
MailList_Sort_Subject#0,"""By Subject"""
MailList_Sort_Read#0,"""By Wead/Unwead"""
MailList_Mail_None#0,"""You don't have any maiw"""
Mail_Player_None#0,"""Pwease sewect a wecipient"""
MailList_List_Remove_Exp#0,"""Wouwd you wike to dewete this maiw?"""
MailList_Error_Command_LISTED#0,"""Failed to obtain mail list.<br><br>[No.1003]"""
MailList_Error_Command_REMOVED#0,"""Failed to delete mail.<br><br>[No.1004]"""
MailList_Error_Command_UPDATED#0,"""Failed to refresh mail.<br><br>[No.1047]"""
MailList_Error_Command_BODY_GOT#0,"""Failed to receive mail contents.<br><br>[No.1005]"""
MailList_Error_Command_CHARA_SENT#0,"""Failed to send mail.<br><br>[No.1006]"""
MailList_Error_Command_SHIP_SENT#0,"""Failed to send mail.<br><br>[No.1007]"""
MailList_Error_Command_SHIP_RECEIVE#0,"""Failed to process mail.<br><br>[No.1008]"""
MailList_Error_Command_Default#0,"""Failed to process mail.<br><br>[No.1009]"""
MailList_Error_Insufficient#0,"""Maiws wequiwe both a subject and body."""
MailList_Error_ToNone#0,"""You haven't entered a recipient.<br>Mail could not be sent."""
MailList_Error_Result_Error#0,"""Could not process mail<br>as an error occurred.<br><br>[No.1010]"""
MailList_Error_Result_Unknown#0,"""Could not process mail<br>as an error occurred.<br><br>[No.1011]"""
