Name_00000#0,"""Beginnew Stwiking Weapon Lv.1"""
Name_00052#0,"""10★ Stwiking Weapon Lv.5"""
Name_00053#0,"""10★ Stwiking Weapon Lv.6"""
Name_00054#0,"""10★ Stwiking Weapon Lv.7"""
Name_00055#0,"""10★ Stwiking Weapon Lv.8"""
Name_00056#0,"""10★ Stwiking Weapon Lv.9"""
Name_00057#0,"""10★ Stwiking Weapon Lv.10"""
Name_00058#0,"""11★ Stwiking Weapon Lv.1"""
Name_00059#0,"""11★ Stwiking Weapon Lv.2"""
Name_00060#0,"""11★ Stwiking Weapon Lv.3"""
Name_00061#0,"""11★ Stwiking Weapon Lv.4"""
Name_00062#0,"""11★ Stwiking Weapon Lv.5"""
Name_00063#0,"""11★ Stwiking Weapon Lv.6"""
Name_00064#0,"""11★ Stwiking Weapon Lv.7"""
Name_00065#0,"""11★ Stwiking Weapon Lv.8"""
Name_00066#0,"""12★ Stwiking Weapon Lv.1"""
Name_00067#0,"""12★ Stwiking Weapon Lv.2"""
Name_00068#0,"""12★ Stwiking Weapon Lv.3"""
Name_00069#0,"""12★ Stwiking Weapon Lv.4"""
Name_00070#0,"""12★ Stwiking Weapon Lv.5"""
Name_00071#0,"""12★ Stwiking Weapon Lv.6"""
Name_00072#0,"""Not set"""
Name_00073#0,"""Not set"""
Name_00074#0,"""Not set"""
Name_00075#0,"""Stwiking Weapon Weset Wecipe"""
Name_00076#0,"""Beginnew Stwiking Weapon Lv.21"""
Name_00077#0,"""Beginnew Stwiking Weapon Lv.22"""
Name_00078#0,"""Beginnew Stwiking Weapon Lv.23"""
Name_00079#0,"""Beginnew Stwiking Weapon Lv.24"""
Name_00080#0,"""Intewmediate Stwiking Weapon Lv.17"""
Name_00081#0,"""Intewmediate Stwiking Weapon Lv.18"""
Name_00082#0,"""Intewmediate Stwiking Weapon Lv.19"""
Name_00083#0,"""Intewmediate Stwiking Weapon Lv.20"""
Name_00084#0,"""Advanced Stwiking Weapon Lv.13"""
Name_00085#0,"""Advanced Stwiking Weapon Lv.14"""
Name_00086#0,"""Advanced Stwiking Weapon Lv.15"""
Name_00087#0,"""Advanced Stwiking Weapon Lv.16"""
Name_00088#0,"""10★ Stwiking Weapon Lv.11"""
Name_00089#0,"""10★ Stwiking Weapon Lv.12"""
Name_00090#0,"""10★ Stwiking Weapon Lv.13"""
Name_00091#0,"""10★ Stwiking Weapon Lv.14"""
Name_00092#0,"""11★ Stwiking Weapon Lv.9"""
Name_00093#0,"""11★ Stwiking Weapon Lv.10"""
Name_00094#0,"""11★ Stwiking Weapon Lv.11"""
Name_00095#0,"""11★ Stwiking Weapon Lv.12"""
Name_00096#0,"""12★ Stwiking Weapon Lv.7"""
Name_00097#0,"""12★ Stwiking Weapon Lv.8"""
Name_00098#0,"""12★ Stwiking Weapon Lv.9"""
Name_00099#0,"""12★ Stwiking Weapon Lv.10"""
Name_00100#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.9"""
Name_00101#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.11"""
Name_00102#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.13"""
Name_00103#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.16"""
Name_00104#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.18"""
Name_00105#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.20"""
Name_00106#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.22"""
Name_00107#0,"""Beginnew Stwiking Weapon (T-ATK) Lv.24"""
Name_00108#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.6"""
Name_00109#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.8"""
Name_00110#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.10"""
Name_00111#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.12"""
Name_00112#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.14"""
Name_00113#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.16"""
Name_00114#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.18"""
Name_00115#0,"""Intewmediate Stwiking Weapon (T-ATK) Lv.20"""
Name_00116#0,"""Expewt Stwiking Weapon (T-ATK) Lv.4"""
Name_00117#0,"""Expewt Stwiking Weapon (T-ATK) Lv.5"""
Name_00118#0,"""Expewt Stwiking Weapon (T-ATK) Lv.6"""
Name_00119#0,"""Expewt Stwiking Weapon (T-ATK) Lv.8"""
Name_00120#0,"""Expewt Stwiking Weapon (T-ATK) Lv.10"""
Name_00121#0,"""Expewt Stwiking Weapon (T-ATK) Lv.12"""
Name_00122#0,"""Advanced Stwiking Weapon (T-ATK) Lv.14"""
Name_00123#0,"""Advanced Stwiking Weapon (T-ATK) Lv.16"""
Name_00124#0,"""10★ Stwiking Weapon (T-ATK) Lv.3"""
Name_00125#0,"""10★ Stwiking Weapon (T-ATK) Lv.4"""
Name_00126#0,"""10★ Stwiking Weapon (T-ATK) Lv.5"""
Name_00127#0,"""10★ Stwiking Weapon (T-ATK) Lv.7"""
Name_00128#0,"""10★ Stwiking Weapon (T-ATK) Lv.8"""
Name_00129#0,"""10★ Stwiking Weapon (T-ATK) Lv.10"""
Name_00130#0,"""10★ Stwiking Weapon (T-ATK) Lv.12"""
Name_00131#0,"""10★ Stwiking Weapon (T-ATK) Lv.14"""
Name_00132#0,"""11★ Stwiking Weapon (T-ATK) Lv.2"""
Name_00133#0,"""11★ Stwiking Weapon (T-ATK) Lv.3"""
Name_00134#0,"""11★ Stwiking Weapon (T-ATK) Lv.4"""
Name_00135#0,"""11★ Stwiking Weapon (T-ATK) Lv.6"""
Name_00136#0,"""11★ Stwiking Weapon (T-ATK) Lv.7"""
Name_00137#0,"""11★ Stwiking Weapon (T-ATK) Lv.8"""
Name_00138#0,"""11★ Stwiking Weapon (T-ATK) Lv.10"""
Name_00139#0,"""11★ Stwiking Weapon (T-ATK) Lv.12"""
Name_00140#0,"""12★ Stwiking Weapon (T-ATK) Lv.1"""
Name_00141#0,"""12★ Stwiking Weapon (T-ATK) Lv.2"""
Name_00142#0,"""12★ Stwiking Weapon (T-ATK) Lv.3"""
Name_00143#0,"""12★ Stwiking Weapon (T-ATK) Lv.4"""
Name_00144#0,"""12★ Stwiking Weapon (T-ATK) Lv.5"""
Name_00145#0,"""12★ Stwiking Weapon (T-ATK) Lv.6"""
Name_00146#0,"""12★ Stwiking Weapon (T-ATK) Lv.8"""
Name_00147#0,"""12★ Stwiking Weapon (T-ATK) Lv.10"""
Name_00148#0,"""Beginnew Stwiking Weapon (DEX) Lv.9"""
Name_00149#0,"""Beginnew Stwiking Weapon (DEX) Lv.11"""
Name_00150#0,"""Beginnew Stwiking Weapon (DEX) Lv.13"""
Name_00151#0,"""Beginnew Stwiking Weapon (DEX) Lv.16"""
Name_00152#0,"""Beginnew Stwiking Weapon (DEX) Lv.18"""
Name_00153#0,"""Beginnew Stwiking Weapon (DEX) Lv.20"""
Name_00154#0,"""Beginnew Stwiking Weapon (DEX) Lv.22"""
Name_00155#0,"""Beginnew Stwiking Weapon (DEX) Lv.24"""
Name_00156#0,"""Intewmediate Stwiking Weapon (DEX) Lv.6"""
Name_00157#0,"""Intewmediate Stwiking Weapon (DEX) Lv.8"""
Name_00158#0,"""Intewmediate Stwiking Weapon (DEX) Lv.10"""
Name_00159#0,"""Intewmediate Stwiking Weapon (DEX) Lv.12"""
Name_00160#0,"""Intewmediate Stwiking Weapon (DEX) Lv.14"""
Name_00161#0,"""Intewmediate Stwiking Weapon (DEX) Lv.16"""
Name_00162#0,"""Intewmediate Stwiking Weapon (DEX) Lv.18"""
Name_00163#0,"""Intewmediate Stwiking Weapon (DEX) Lv.20"""
Name_00164#0,"""Advanced Stwiking Weapon (DEX) Lv.4"""
Name_00165#0,"""Advanced Stwiking Weapon (DEX) Lv.5"""
Name_00166#0,"""Advanced Stwiking Weapon (DEX) Lv.6"""
Name_00167#0,"""Advanced Stwiking Weapon (DEX) Lv.8"""
Name_00168#0,"""Advanced Stwiking Weapon (DEX) Lv.10"""
Name_00169#0,"""Advanced Stwiking Weapon (DEX) Lv.12"""
Name_00170#0,"""Advanced Stwiking Weapon (DEX) Lv.14"""
Name_00171#0,"""Advanced Stwiking Weapon (DEX) Lv.16"""
Name_00172#0,"""10★ Stwiking Weapon (DEX) Lv.3"""
Name_00173#0,"""10★ Stwiking Weapon (DEX) Lv.4"""
Name_00174#0,"""10★ Stwiking Weapon (DEX) Lv.5"""
Name_00175#0,"""10★ Stwiking Weapon (DEX) Lv.7"""
Name_00176#0,"""10★ Stwiking Weapon (DEX) Lv.8"""
Name_00177#0,"""10★ Stwiking Weapon (DEX) Lv.10"""
Name_00178#0,"""10★ Stwiking Weapon (DEX) Lv.12"""
Name_00179#0,"""10★ Stwiking Weapon (DEX) Lv.14"""
Name_00180#0,"""11★ Stwiking Weapon (DEX) Lv.2"""
Name_00181#0,"""11★ Stwiking Weapon (DEX) Lv.3"""
Name_00182#0,"""11★ Stwiking Weapon (DEX) Lv.4"""
Name_00183#0,"""11★ Stwiking Weapon (DEX) Lv.6"""
Name_00184#0,"""11★ Stwiking Weapon (DEX) Lv.7"""
Name_00185#0,"""11★ Stwiking Weapon (DEX) Lv.8"""
Name_00186#0,"""11★ Stwiking Weapon (DEX) Lv.10"""
Name_00187#0,"""11★ Stwiking Weapon (DEX) Lv.12"""
Name_00188#0,"""12★ Stwiking Weapon (DEX) Lv.1"""
Name_00189#0,"""12★ Stwiking Weapon (DEX) Lv.2"""
Name_00190#0,"""12★ Stwiking Weapon (DEX) Lv.3"""
Name_00191#0,"""12★ Stwiking Weapon (DEX) Lv.4"""
Name_00192#0,"""12★ Stwiking Weapon (DEX) Lv.5"""
Name_00193#0,"""12★ Stwiking Weapon (DEX) Lv.6"""
Name_00194#0,"""12★ Stwiking Weapon (DEX) Lv.8"""
Name_00195#0,"""12★ Stwiking Weapon (DEX) Lv.10"""
Name_10000#0,"""Beginnew Wanged Weapon Lv.1"""
Name_10001#0,"""Beginnew Wanged Weapon Lv.2"""
Name_10002#0,"""Beginnew Wanged Weapon Lv.3"""
Name_10003#0,"""Beginnew Wanged Weapon Lv.4"""
Name_10004#0,"""Beginnew Wanged Weapon Lv.5"""
Name_10005#0,"""Beginnew Wanged Weapon Lv.6"""
Name_10006#0,"""Beginnew Wanged Weapon Lv.7"""
Name_10007#0,"""Beginnew Wanged Weapon Lv.8"""
Name_10008#0,"""Beginnew Wanged Weapon Lv.9"""
Name_10009#0,"""Beginnew Wanged Weapon Lv.10"""
Name_10010#0,"""Beginnew Wanged Weapon Lv.11"""
Name_10011#0,"""Beginnew Wanged Weapon Lv.12"""
Name_10012#0,"""Beginnew Wanged Weapon Lv.13"""
Name_10013#0,"""Beginnew Wanged Weapon Lv.14"""
Name_10014#0,"""Beginnew Wanged Weapon Lv.15"""
Name_10015#0,"""Beginnew Wanged Weapon Lv.16"""
Name_10016#0,"""Beginnew Wanged Weapon Lv.17"""
Name_10017#0,"""Beginnew Wanged Weapon Lv.18"""
Name_10018#0,"""Beginnew Wanged Weapon Lv.19"""
Name_10019#0,"""Beginnew Wanged Weapon Lv.20"""
Name_10020#0,"""Intewmediate Wanged Weapon Lv.1"""
Name_10021#0,"""Intewmediate Wanged Weapon Lv.2"""
Name_10022#0,"""Intewmediate Wanged Weapon Lv.3"""
Name_10023#0,"""Intewmediate Wanged Weapon Lv.4"""
Name_10024#0,"""Intewmediate Wanged Weapon Lv.5"""
Name_10025#0,"""Intewmediate Wanged Weapon Lv.6"""
Name_10026#0,"""Intewmediate Wanged Weapon Lv.7"""
Name_10027#0,"""Intewmediate Wanged Weapon Lv.8"""
Name_10028#0,"""Intewmediate Wanged Weapon Lv.9"""
Name_10029#0,"""Intewmediate Wanged Weapon Lv.10"""
Name_10030#0,"""Intewmediate Wanged Weapon Lv.11"""
Name_10031#0,"""Intewmediate Wanged Weapon Lv.12"""
Name_10032#0,"""Intewmediate Wanged Weapon Lv.13"""
Name_10033#0,"""Intewmediate Wanged Weapon Lv.14"""
Name_10034#0,"""Intewmediate Wanged Weapon Lv.15"""
Name_10035#0,"""Intewmediate Wanged Weapon Lv.16"""
Name_10036#0,"""Advanced Wanged Weapon Lv.1"""
Name_10037#0,"""Advanced Wanged Weapon Lv.2"""
Name_10038#0,"""Advanced Wanged Weapon Lv.3"""
Name_10039#0,"""Advanced Wanged Weapon Lv.4"""
Name_10040#0,"""Advanced Wanged Weapon Lv.5"""
Name_10041#0,"""Advanced Wanged Weapon Lv.6"""
Name_10042#0,"""Advanced Wanged Weapon Lv.7"""
Name_10043#0,"""Advanced Wanged Weapon Lv.8"""
Name_10044#0,"""Advanced Wanged Weapon Lv.9"""
Name_10045#0,"""Advanced Wanged Weapon Lv.10"""
Name_10046#0,"""Advanced Wanged Weapon Lv.11"""
Name_10047#0,"""Advanced Wanged Weapon Lv.12"""
Name_10048#0,"""10★ Wanged Weapon Lv.1"""
Name_10049#0,"""10★ Wanged Weapon Lv.2"""
Name_10050#0,"""10★ Wanged Weapon Lv.3"""
Name_10051#0,"""10★ Wanged Weapon Lv.4"""
Name_10052#0,"""10★ Wanged Weapon Lv.5"""
Name_10053#0,"""10★ Wanged Weapon Lv.6"""
Name_10054#0,"""10★ Wanged Weapon Lv.7"""
Name_10055#0,"""10★ Wanged Weapon Lv.8"""
Name_10056#0,"""10★ Wanged Weapon Lv.9"""
Name_10057#0,"""10★ Wanged Weapon Lv.10"""
Name_10058#0,"""11★ Wanged Weapon Lv.1"""
Name_10059#0,"""11★ Wanged Weapon Lv.2"""
Name_10060#0,"""11★ Wanged Weapon Lv.3"""
Name_10061#0,"""11★ Wanged Weapon Lv.4"""
Name_10062#0,"""11★ Wanged Weapon Lv.5"""
Name_10063#0,"""11★ Wanged Weapon Lv.6"""
Name_10064#0,"""11★ Wanged Weapon Lv.7"""
Name_10065#0,"""11★ Wanged Weapon Lv.8"""
Name_10066#0,"""12★ Wanged Weapon Lv.1"""
Name_10067#0,"""12★ Wanged Weapon Lv.2"""
Name_10068#0,"""12★ Wanged Weapon Lv.3"""
Name_10069#0,"""12★ Wanged Weapon Lv.4"""
Name_10070#0,"""12★ Wanged Weapon Lv.5"""
Name_10071#0,"""12★ Wanged Weapon Lv.6"""
Name_10072#0,"""Not set"""
Name_10073#0,"""Not set"""
Name_10074#0,"""Not set"""
Name_10075#0,"""Wanged Weapon Weset Wecipe"""
Name_10076#0,"""Beginnew Wanged Weapon Lv.21"""
Name_10077#0,"""Beginnew Wanged Weapon Lv.22"""
Name_10078#0,"""Beginnew Wanged Weapon Lv.23"""
Name_10079#0,"""Beginnew Wanged Weapon Lv.24"""
Name_10080#0,"""Intewmediate Wanged Weapon Lv.17"""
Name_10081#0,"""Intewmediate Wanged Weapon Lv.18"""
Name_10082#0,"""Intewmediate Wanged Weapon Lv.19"""
Name_10083#0,"""Intewmediate Wanged Weapon Lv.20"""
Name_10084#0,"""Advanced Wanged Weapon Lv.13"""
Name_10085#0,"""Advanced Wanged Weapon Lv.14"""
Name_10086#0,"""Advanced Wanged Weapon Lv.15"""
Name_10087#0,"""Advanced Wanged Weapon Lv.16"""
Name_10088#0,"""10★ Wanged Weapon Lv.11"""
Name_10089#0,"""10★ Wanged Weapon Lv.12"""
Name_10090#0,"""10★ Wanged Weapon Lv.13"""
Name_10091#0,"""10★ Wanged Weapon Lv.14"""
Name_10092#0,"""11★ Wanged Weapon Lv.9"""
Name_10093#0,"""11★ Wanged Weapon Lv.10"""
Name_10094#0,"""11★ Wanged Weapon Lv.11"""
Name_10095#0,"""11★ Wanged Weapon Lv.12"""
Name_10096#0,"""12★ Wanged Weapon Lv.7"""
Name_10097#0,"""12★ Wanged Weapon Lv.8"""
Name_10098#0,"""12★ Wanged Weapon Lv.9"""
Name_10099#0,"""12★ Wanged Weapon Lv.10"""
Name_10100#0,"""Beginnew Wanged Weapon (T-ATK) Lv.9"""
Name_10101#0,"""Beginnew Wanged Weapon (T-ATK) Lv.11"""
Name_10102#0,"""Beginnew Wanged Weapon (T-ATK) Lv.13"""
Name_10103#0,"""Beginnew Wanged Weapon (T-ATK) Lv.16"""
Name_10104#0,"""Beginnew Wanged Weapon (T-ATK) Lv.18"""
Name_10105#0,"""Beginnew Wanged Weapon (T-ATK) Lv.20"""
Name_10106#0,"""Beginnew Wanged Weapon (T-ATK) Lv.22"""
Name_10107#0,"""Beginnew Wanged Weapon (T-ATK) Lv.24"""
Name_10108#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.6"""
Name_10109#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.8"""
Name_10110#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.10"""
Name_10111#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.12"""
Name_10112#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.14"""
Name_10113#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.16"""
Name_10114#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.18"""
Name_10115#0,"""Intewmediate Wanged Weapon (T-ATK) Lv.20"""
Name_10116#0,"""Expewt Wanged Weapon (T-ATK) Lv.4"""
Name_10117#0,"""Expewt Wanged Weapon (T-ATK) Lv.5"""
Name_10118#0,"""Expewt Wanged Weapon (T-ATK) Lv.6"""
Name_10119#0,"""Expewt Wanged Weapon (T-ATK) Lv.8"""
Name_10120#0,"""Expewt Wanged Weapon (T-ATK) Lv.10"""
Name_10121#0,"""Expewt Wanged Weapon (T-ATK) Lv.12"""
Name_10122#0,"""Advanced Wanged Weapon (T-ATK) Lv.14"""
Name_10123#0,"""Advanced Wanged Weapon (T-ATK) Lv.16"""
Name_10124#0,"""10★ Wanged Weapon (T-ATK) Lv.3"""
Name_10125#0,"""10★ Wanged Weapon (T-ATK) Lv.4"""
Name_10126#0,"""10★ Wanged Weapon (T-ATK) Lv.5"""
Name_10127#0,"""10★ Wanged Weapon (T-ATK) Lv.7"""
Name_10128#0,"""10★ Wanged Weapon (T-ATK) Lv.8"""
Name_10129#0,"""10★ Wanged Weapon (T-ATK) Lv.10"""
Name_10130#0,"""10★ Wanged Weapon (T-ATK) Lv.12"""
Name_10131#0,"""10★ Wanged Weapon (T-ATK) Lv.14"""
Name_10132#0,"""11★ Wanged Weapon (T-ATK) Lv.2"""
Name_10133#0,"""11★ Wanged Weapon (T-ATK) Lv.3"""
Name_10134#0,"""11★ Wanged Weapon (T-ATK) Lv.4"""
Name_10135#0,"""11★ Wanged Weapon (T-ATK) Lv.6"""
Name_10136#0,"""11★ Wanged Weapon (T-ATK) Lv.7"""
Name_10137#0,"""11★ Wanged Weapon (T-ATK) Lv.8"""
Name_10138#0,"""11★ Wanged Weapon (T-ATK) Lv.10"""
Name_10139#0,"""11★ Wanged Weapon (T-ATK) Lv.12"""
Name_10140#0,"""12★ Wanged Weapon (T-ATK) Lv.1"""
Name_10141#0,"""12★ Wanged Weapon (T-ATK) Lv.2"""
Name_10142#0,"""12★ Wanged Weapon (T-ATK) Lv.3"""
Name_10143#0,"""12★ Wanged Weapon (T-ATK) Lv.4"""
Name_10144#0,"""12★ Wanged Weapon (T-ATK) Lv.5"""
Name_10145#0,"""12★ Wanged Weapon (T-ATK) Lv.6"""
Name_10146#0,"""12★ Wanged Weapon (T-ATK) Lv.8"""
Name_10147#0,"""12★ Wanged Weapon (T-ATK) Lv.10"""
Name_10148#0,"""Beginnew Wanged Weapon (DEX) Lv.9"""
Name_10149#0,"""Beginnew Wanged Weapon (DEX) Lv.11"""
Name_10150#0,"""Beginnew Wanged Weapon (DEX) Lv.13"""
Name_10151#0,"""Beginnew Wanged Weapon (DEX) Lv.16"""
Name_10152#0,"""Beginnew Wanged Weapon (DEX) Lv.18"""
Name_10153#0,"""Beginnew Wanged Weapon (DEX) Lv.20"""
Name_10154#0,"""Beginnew Wanged Weapon (DEX) Lv.22"""
Name_10155#0,"""Beginnew Wanged Weapon (DEX) Lv.24"""
Name_10156#0,"""Intewmediate Wanged Weapon (DEX) Lv.6"""
Name_10157#0,"""Intewmediate Wanged Weapon (DEX) Lv.8"""
Name_10158#0,"""Intewmediate Wanged Weapon (DEX) Lv.10"""
Name_10159#0,"""Intewmediate Wanged Weapon (DEX) Lv.12"""
Name_10160#0,"""Intewmediate Wanged Weapon (DEX) Lv.14"""
Name_10161#0,"""Intewmediate Wanged Weapon (DEX) Lv.16"""
Name_10162#0,"""Intewmediate Wanged Weapon (DEX) Lv.18"""
Name_10163#0,"""Intewmediate Wanged Weapon (DEX) Lv.20"""
Name_10164#0,"""Advanced Wanged Weapon (DEX) Lv.4"""
Name_10165#0,"""Advanced Wanged Weapon (DEX) Lv.5"""
Name_10166#0,"""Advanced Wanged Weapon (DEX) Lv.6"""
Name_10167#0,"""Advanced Wanged Weapon (DEX) Lv.8"""
Name_10168#0,"""Advanced Wanged Weapon (DEX) Lv.10"""
Name_10169#0,"""Advanced Wanged Weapon (DEX) Lv.12"""
Name_10170#0,"""Advanced Wanged Weapon (DEX) Lv.14"""
Name_10171#0,"""Advanced Wanged Weapon (DEX) Lv.16"""
Name_10172#0,"""10★ Wanged Weapon (DEX) Lv.3"""
Name_10173#0,"""10★ Wanged Weapon (DEX) Lv.4"""
Name_10174#0,"""10★ Wanged Weapon (DEX) Lv.5"""
Name_10175#0,"""10★ Wanged Weapon (DEX) Lv.7"""
Name_10176#0,"""10★ Wanged Weapon (DEX) Lv.8"""
Name_10177#0,"""10★ Wanged Weapon (DEX) Lv.10"""
Name_10178#0,"""10★ Wanged Weapon (DEX) Lv.12"""
Name_10179#0,"""10★ Wanged Weapon (DEX) Lv.14"""
Name_10180#0,"""11★ Wanged Weapon (DEX) Lv.2"""
Name_10181#0,"""11★ Wanged Weapon (DEX) Lv.3"""
Name_10182#0,"""11★ Wanged Weapon (DEX) Lv.4"""
Name_10183#0,"""11★ Wanged Weapon (DEX) Lv.6"""
Name_10184#0,"""11★ Wanged Weapon (DEX) Lv.7"""
Name_10185#0,"""11★ Wanged Weapon (DEX) Lv.8"""
Name_10186#0,"""11★ Wanged Weapon (DEX) Lv.10"""
Name_10187#0,"""11★ Wanged Weapon (DEX) Lv.12"""
Name_10188#0,"""12★ Wanged Weapon (DEX) Lv.1"""
Name_10189#0,"""12★ Wanged Weapon (DEX) Lv.2"""
Name_10190#0,"""12★ Wanged Weapon (DEX) Lv.3"""
Name_10191#0,"""12★ Wanged Weapon (DEX) Lv.4"""
Name_10192#0,"""12★ Wanged Weapon (DEX) Lv.5"""
Name_10193#0,"""12★ Wanged Weapon (DEX) Lv.6"""
Name_10194#0,"""12★ Wanged Weapon (DEX) Lv.8"""
Name_10195#0,"""12★ Wanged Weapon (DEX) Lv.10"""
Name_20000#0,"""Beginnew Tech Weapon Lv.1"""
Name_20001#0,"""Beginnew Tech Weapon Lv.2"""
Name_20002#0,"""Beginnew Tech Weapon Lv.3"""
Name_20003#0,"""Beginnew Tech Weapon Lv.4"""
Name_20004#0,"""Beginnew Tech Weapon Lv.5"""
Name_20005#0,"""Beginnew Tech Weapon Lv.6"""
Name_20006#0,"""Beginnew Tech Weapon Lv.7"""
Name_20007#0,"""Beginnew Tech Weapon Lv.8"""
Name_20008#0,"""Beginnew Tech Weapon Lv.9"""
Name_20009#0,"""Beginnew Tech Weapon Lv.10"""
Name_20010#0,"""Beginnew Tech Weapon Lv.11"""
Name_20011#0,"""Beginnew Tech Weapon Lv.12"""
Name_20012#0,"""Beginnew Tech Weapon Lv.13"""
Name_20013#0,"""Beginnew Tech Weapon Lv.14"""
Name_20014#0,"""Beginnew Tech Weapon Lv.15"""
Name_20015#0,"""Beginnew Tech Weapon Lv.16"""
Name_20016#0,"""Beginnew Tech Weapon Lv.17"""
Name_20017#0,"""Beginnew Tech Weapon Lv.18"""
Name_20018#0,"""Beginnew Tech Weapon Lv.19"""
Name_20019#0,"""Beginnew Tech Weapon Lv.20"""
Name_20020#0,"""Intewmediate Tech Weapon Lv.1"""
Name_20021#0,"""Intewmediate Tech Weapon Lv.2"""
Name_20022#0,"""Intewmediate Tech Weapon Lv.3"""
Name_20023#0,"""Intewmediate Tech Weapon Lv.4"""
Name_20024#0,"""Intewmediate Tech Weapon Lv.5"""
Name_20025#0,"""Intewmediate Tech Weapon Lv.6"""
Name_20026#0,"""Intewmediate Tech Weapon Lv.7"""
Name_20027#0,"""Intewmediate Tech Weapon Lv.8"""
Name_20028#0,"""Intewmediate Tech Weapon Lv.9"""
