Title#0,"""AWKS Twaining Centew"""
ChallengeResultSub1#0,"""Cweaw Wate"""
ChallengeResultSub2#0,"""MISSION $(0) ($(1))"""
ChallengeResultSub3#0,"""Miwe Cwystaws Cowwected"""
ChallengeResultSub4#0,"""Meseta Eawned"""
ChallengeResultSub5#0,"""Pawty Bonus"""
ChallengeResultSub6#0,"""Cweaw Wanking"""
ChallengeResultSub7#0,"""Totaw Miwe Bonus"""
Get#0,"""GET!"""
CollectFileRareDropBoost#0,"""Wawe Dwop Wate Bonus"""
BasnetResultTitle1#0,"""Victowy Wesuwts"""
BasnetResultTitle2#0,"""Quest Wesuwts"""
BasnetResultTitle3#0,"""Wesuwt"""
BasnetResultTitle4#0,"""BP"""
BasnetResultTitle5#0,"""Gwade Change"""
BasnetResultTitle6#0,"""Gwade Change （Boost +$(0)%）"""
BasnetResultSub1#0,"""Outcome"""
BasnetResultSub2#0,"""Boss Defeated"""
BasnetResultSub3#0,"""Stwength Gauge Diffewence"""
BasnetResultSub4#0,"""Bases Weft"""
BasnetResultSub5#0,"""Base Defenses"""
BasnetResultSub6#0,"""Neawby Faciwities Damage"""
BasnetResultSub7#0,"""Incapacitation Count"""
BasnetResultSub8#0,"""Bustew Points"""
BasnetResultSub9#0,"""Gwade"""
BasnetResultSub10#0,"""Cuwwent Bustew Points"""
BasnetResultSub11#0,"""To Next Gwade"""
BasnetResultText1#0,"""Win"""
BasnetResultText2#0,"""Woss"""
BasnetResultText3#0,"""Success"""
BasnetResultText4#0,"""Faiwed"""
BasnetResultText5#0,"""+$(0)"""
BasnetResultText6#0,"""-$(0)"""
BasnetResultText7#0,"""$(0)"""
BasnetResultText8#0,"""$(0)%"""
BasnetResult_NextPointNone#0,"""―"""
BasnetResultText9#0,"""$(0)"""
MenuType_OngoingQuest#0,"""Cuwwent Quest"""
MenuType_OngoingTrial#0,"""Cuwwent Emewgency Twiaw"""
MenuType_QuestCondition#0,"""Quest Wequiwements"""
MenuType_QuestDestruction#0,"""Abandon Quest"""
MenuType_BeforeQuestResult#0,"""Pwevious Quest Wesuwts"""
MenuType_Back#1,"""Wetuwn"""
MenuType_ExtraQuestConfirm#0,"""Campaign Content"""
MenuType_ArksBoostRoadConfirm#0,"""AWKS Boost Wawwy Confiwm"""
Trial_Title#0,"""Emewgency Twiaw Info"""
Trial_Name#0,"""Emewgency Twiaw Name"""
Trial_TrialTarget#0,"""Emewgency Twiaw Goaw"""
Trial_ExtraTarget#0,"""Extwa Tawget"""
Trial_FailureConditions#0,"""Faiw Condition"""
Trial_Achievement#0,"""Pwogwess"""
Trial_Back#0,"""Wetuwn"""
Target_Success#0,"""Success!"""
Target_Finish#0,"""Suwvivaw Stwategy!"""
YesText#0,"""Yes"""
NoText#0,"""No"""
CloseText#0,"""Cwose"""
OpenText#0,"""Open"""
MaxText#0,"""Max"""
MinText#0,"""Min"""
Sort#0,"""Sowt"""
Copy#0,"""Copy"""
Peaste#0,"""Paste"""
NextText#0,"""Next"""
PrevText#0,"""Pwevious"""
CancelText#0,"""Cancew"""
OKText#0,"""OK"""
ReturnText#0,"""Wetuwn"""
CheckText#0,"""Do not show this window again."""
Q_Event001#0,"""We awe cuwwentwy pwepawing fow a wawge-scawe opewation invowving aww AWKS membews."""
Q_Event001_01_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Nabewian fowest."""
Q_Event001_02_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Nabewian tundwa."""
Q_Event001_03_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Nabewian wuins."""
Q_Event001_04_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Amduscian cavewns."""
Q_Event001_05_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Amduscian Skyscape."""
Q_Event001_06_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Wiwwipan desewts."""
Q_Event001_07_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Wiwwipan tunnews."""
Q_Event001_08_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in the Wiwwipan quawwy."""
Q_Event001_09_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation on the Cowwupted Mothewship."""
Q_Event001_10_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in Hawkotan's Shiwonia wegion."""
Q_Event001_11_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in Hawkotan's Kuwon wegion."""
Q_Event001_51_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on Nabewius."""
Q_Event001_52_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on Amduscia."""
Q_Event001_53_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on Wiwwipa."""
Q_Event001_54_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on Wopaw."""
Q_Event001_55_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on Hawkotan."""
Q_Event001_90_MES#0,"""The AWKS awe pwepawing a wawge-scawe opewation in wesponse to enemy activity in muwtipwe aweas."""
Q_Event001_91_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on muwtipwe pwanets."""
Q_Event002_MES#0,"""The Emewgency Quest is now active. We awe conducting wawge-scawe opewations with the pawticipation of aww AWKS opewatives. Pwease visit a quest countew to pawticipate in the quest."""
Q_Event003_MES#0,"""The wawge-scawe opewation has ended. Thanks fow youw coopewation."""
R_Event004_MES#0,"""We awe cuwwentwy pwocessing Intewwupt Wanking wesuwts. Pwease stand by fow a futuwe announcement."""
R_Event005_MES#0,"""Interrupt Rankings have been updated. Please check a nearby Visiphone. The current top-ranked player is <%TSE_AllTopPlayer_Name>. Congratulations!"""
Q_Event006_MES#0,"""Emewgency bwoadcast! Numewous Dawkews awe appwoaching the outwying wegions of the AWKS fweet!"""
Q_Event007_MES#0,"""Emewgency bwoadcast! An AWKS ship has been attacked by Dawkews! Aww AWKS opewatives, pwease wepowt to the quest countew to initiate an uwgent wescue opewation!"""
W_Event008_MES#0,"""The weekwy wanking count has ended! Wesuwt tawwying wiww now begin. Pwease stand by."""
W_Event009_MES#0,"""The weekwy wanking wesuwts have updated! Pwease check the detaiws at youw neawest Visiphone."""
Q_Event010_MES#0,"""Emewgency bwoadcast. Both Dawk Fawz Ewdew and Dawk Fawz Wosew awe appwoaching the outwying wegions of the AWKS fweet."""
RD_Event001_MES#0,"""Emewgency bwoadcast! Dawk Fawz is appwoaching the outwying wegions of the AWKS fweet!"""
RD_Event002_MES#0,"""Emewgency bwoadcast! Dawk Fawz is attacking the AWKS fweet! Aww pewsonnew, scwambwe and intewcept!"""
RD_Event003_MES#0,"""Fawz Awm defeat wate at 0% of tawget! Dawk Fawz's enewgy has not been stopped. Aww AWKS awe expected to give theiw aww."""
RD_Event004_MES#0,"""Fawz Awm defeat wate at 20% of tawget! Dawk Fawz's enewgy has not been stopped. Aww AWKS awe expected to give theiw aww."""
A_Event001_MES#0,"""The AWKS awe pwepawing fow a wawge-scawe investigation of anomawous weadings in deep space."""
A_Event002_MES#0,"""The Emewgency Quest is now active. We awe conducting a wawge-scawe investigation of an anomawy in deep space. Pwease visit a quest countew to pawticipate in the quest."""
D_Event001_MES#0,"""Emewgency bwoadcast! Numewous Dawkews awe appwoaching the outwying wegions of Wiwwipa's Mining Base!"""
D_Event002_MES#0,"""Emewgency bwoadcast! Wiwwipa's Mining Base is undew attack by Dawkews! Aww AWKS opewatives, pwease wepowt to the quest countew to initiate an uwgent defense opewation!"""
D_Event003_MES#0,"""Emewgency bwoadcast! Numewous Dawkews awe appwoaching the outwying wegions of Wiwwipa's pwimawy mining base!"""
D_Event004_MES#0,"""Emewgency bwoadcast! Wiwwipa's pwimawy mining base is undew attack by Dawkews! Aww AWKS opewatives, pwease wepowt to the quest countew to initiate an uwgent defense opewation!"""
D_Event005_MES#0,"""Emewgency bwoadcast! Numewous Dawkews awe appwoaching the outwying wegions of Wiwwipa's secondawy mining base!"""
D_Event006_MES#0,"""Emewgency bwoadcast! Wiwwipa's secondawy mining base is undew attack by Dawkews! Aww AWKS opewatives, pwease wepowt to the quest countew to initiate an uwgent defense opewation!"""
D_Event007_MES#0,"""Emewgency bwoadcast! Dawkews awe appwoaching the outwying wegions of Wiwwipa's tewtiawy mining base!"""
D_Event008_MES#0,"""Emewgency bwoadcast! Wiwwipa's tewtiawy mining base is undew attack by Dawkews! Aww AWKS opewatives, pwease wepowt to the quest countew to initiate an uwgent defense opewation!"""
D_Event009_MES#0,"""Hey, AWKS! I'm Necky! I'm going to issue speciaw chawwenges just to test youw skiwws! Give them a twy!"""
D_Event010_MES#0,"""I've sent my chawwenge to the quest countew! Go! Give it a twy!"""
D_Event011_MES#0,"""Hey, AWKS! Thanks fow accepting my chawwenge! I hope we can do this again!"""
D_Event012_MES#0,"""Uwgent bwoadcast. An announcement wiww be made showtwy fow the pawticipation of aww AWKS in a speciaw opewation. Pwease stay tuned."""
D_Event013_MES#0,"""Uwgent mission. A wequest fow the pawticipation of aww AWKS in a speciaw opewation has been made. Wepowt to the quest countew to accept the mission."""
D_Event014_MES#0,"""Yo AWKS! I'm Powytan! I've bowwowed youw VW Awea and have made a quest! Pwease join us as soon as thewe is woom!"""
D_Event015_MES#0,"""Thewe's an opening in Powytanwand! You can join us fwom the Quest Countew!"""
D_Event016_MES#0,"""Thanks fow coming to Powytanwand today! Come visit us again!"""
LS_Event001_MES#0,"""We'we howding a concewt in the Shop Awea soon! We hope to see evewyone thewe!"""
LS_Event002_MES#0,"""A concewt is undewway in the Shop Awea! Don't miss out!"""
LS_Event003_MES#0,"""Thank you aww fow wistening! Untiw we meet again, this is Quna signing off!"""
M_Event001_MES#0,"""A Wive Movie wiww be stawting in the shop awea soon."""
M_Event002_MES#0,"""A Wive Movie is cuwwentwy being shown in the shop awea."""
RD_Event005_MES#0,"""Fawz Awm defeat wate at 40% of tawget! Dawk Fawz is getting weakew. Now's youw chance!"""
RD_Event006_MES#0,"""Fawz Awm defeat wate at 60% of tawget! Excewwent pwogwess. Pwease keep up the good wowk."""
RD_Event007_MES#0,"""Fawz Awm defeat wate at 80% of tawget! Confiwmed massive damage to Dawk Fawz. Pwease finish it off."""
RD_Event008_MES#0,"""The attack's deadwine is fast appwoaching. We wiww be unabwe to compwete ouw objective. Aww AWKS shouwd put fowth theiw fuww effowt."""
RD_Event009_MES#0,"""The attack's deadwine is fast appwoaching. We wiww be unabwe to compwete ouw objective. Aww AWKS shouwd put fowth theiw fuww effowt."""
RD_Event010_MES#0,"""The attack's deadwine is fast appwoaching. We wiww be unabwe to compwete ouw objective. Aww AWKS shouwd put fowth theiw fuww effowt."""
RD_Event011_MES#0,"""The attack's deadwine is fast appwoaching. We wiww be unabwe to compwete ouw objective. Aww AWKS shouwd put fowth theiw fuww effowt."""
RD_Event012_MES#0,"""The attack's deadwine is vewy cwose. We can begin phase two if we weach ouw goaw by then. Pwepawe fow one finaw push."""
RD_Event013_MES#0,"""Ouw initiaw attack faiwed… Abandon the attacked AWKS ship; aww suwviving AWKS ships awe to withdwaw to a safe wocation."""
RD_Event014_MES#0,"""Initiaw assauwt successfuw! Commence phase two! Appwoach and stwike Dawk Fawz whiwe it's weakened!"""
RD_Event015_MES#0,"""Dawk Fawz has been successfuwwy wepewwed. Thanks go out to aww AWKS fow youw coopewation today."""
RD_Event016_MES#0,"""Oh, so you're owl exterminators? Then you won't have any problem exterminating <%Sint64Arg1> owls across all ships within 30 minutes!"""
RD_Event017_MES#0,"""Emewgency bwoadcast! Ouw weadings suggest Dawk Fawz Wosew is appwoaching, awong with an infested fowmew mothewship."""
RD_Event018_MES#0,"""This is an emewgency diwective. We awe now beginning an aww-out attack against the apostwes of Dawk Fawz Wosew. Aww AWKS opewatives awe to scwambwe to the infested fowmew mothewship."""
RD_Event019_MES#0,"""We'we swiftwy appwoaching the deadwine fow this opewation. Though we've awweady accompwished ouw goaw, you shouwd keep up the assauwt."""
RD_Event020_MES#0,"""We'we swiftwy appwoaching the deadwine fow this opewation. We haven't yet weached ouw tawget. We'we counting on aww AWKS opewatives to wendew assistance."""
RD_Event021_MES#0,"""We've wocked onto Dawk Fawz Wosew's coowdinates. It seems to be using the wemains of its apostwes to consewve powew. Aww AWKS opewatives awe to sowtie immediatewy and destwoy it."""
RD_Event022_MES#0,"""We've wocked onto Dawk Fawz Wosew's coowdinates. Aww AWKS opewatives awe to sowtie immediatewy and destwoy it."""
RD_Event023_MES#0,"""We awe cuwwentwy engaging Dawk Fawz Wosew. We wequest that aww AWKS opewatives head to the quest countew to join the fight."""
Q_TwiceEvent001_01_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Nabewian fowest."""
Q_TwiceEvent001_02_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Nabewian tundwa."""
Q_TwiceEvent001_03_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Nabewian wuins."""
Q_TwiceEvent001_04_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Amduscian cavewns."""
Q_TwiceEvent001_05_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity on the Amduscian Skyscape."""
Q_TwiceEvent001_06_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Wiwwipan desewt."""
Q_TwiceEvent001_07_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Wiwwipan tunnews."""
Q_TwiceEvent001_08_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the Wiwwipan quawwies."""
Q_TwiceEvent001_09_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in the cowwupted mothewship."""
Q_TwiceEvent001_10_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in Hawkotan's Shiwonia wegion."""
Q_TwiceEvent001_51_MES#0,"""Aww AWKS awe instwucted to pwepawe fow muwtipwe wawge-scawe suppwession opewations on Nabewius."""
Q_TwiceEvent001_52_MES#0,"""Aww AWKS awe instwucted to pwepawe fow muwtipwe wawge-scawe suppwession opewations on Amduscia."""
Q_TwiceEvent001_53_MES#0,"""Aww AWKS awe instwucted to pwepawe fow muwtipwe wawge-scawe suppwession opewations on Wiwwipa."""
Q_TwiceEvent001_54_MES#0,"""Aww AWKS awe instwucted to pwepawe fow muwtipwe wawge-scawe suppwession opewations on Wopaw."""
Q_TwiceEvent001_55_MES#0,"""Aww AWKS awe instwucted to pwepawe fow muwtipwe wawge-scawe suppwession opewations on Hawkotan."""
Q_TwiceEvent001_90_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity in muwtipwe aweas."""
Q_TwiceEvent001_91_MES#0,"""The AWKS awe pwepawing muwtipwe wawge-scawe opewations in wesponse to enemy activity on muwtipwe pwanets."""
Q_TwiceEvent002_MES#0,"""The fiwst Emewgency Quest is now active. We awe conducting wawge-scawe opewations with the pawticipation of aww AWKS opewatives. Pwease visit a quest countew to pawticipate in the quest."""
Q_TwiceEvent003_MES#0,"""The second Emewgency Quest is now active. We awe conducting wawge-scawe opewations with the pawticipation of aww AWKS opewatives. Pwease visit a quest countew to pawticipate in the quest."""
D_TwiceEvent001_MES#0,"""Emewgency notice fow aww opewatives. Dawkews awe convewging on muwtipwe mining bases on Wiwwipa. Pwepawe fow defensive opewations."""
D_TwiceEvent002_1_MES#0,"""The fiwst emewgency defense opewation is undewway. Wiwwipa's pwimawy mining base is undew attack by Dawkews. Aww AWKS opewatives, pwease join at the quest countew."""
D_TwiceEvent003_1_MES#0,"""The fiwst emewgency defense opewation is undewway. Wiwwipa's secondawy mining base is undew attack by Dawkews. Aww AWKS opewatives, pwease join at the quest countew."""
D_TwiceEvent004_1_MES#0,"""The fiwst emewgency defense opewation is undewway. Wiwwipa's tewtiawy mining base is undew attack by Dawkews. Aww AWKS opewatives, pwease join at the quest countew."""
D_TwiceEvent002_2_MES#0,"""The second emewgency defense opewation is undewway. Wiwwipa's pwimawy mining base is undew attack by Dawkews. Aww AWKS opewatives, pwease join at the quest countew."""
D_TwiceEvent003_2_MES#0,"""The second emewgency defense opewation is undewway. Wiwwipa's secondawy mining base is undew attack by Dawkews. Aww AWKS opewatives, pwease join at the quest countew."""
D_TwiceEvent004_2_MES#0,"""The second emewgency defense opewation is undewway. Wiwwipa's tewtiawy mining base is undew attack by Dawkews. Aww AWKS opewatives, pwease join at the quest countew."""
RD_Event025_MES#0,"""This is an emewgency. Magatsu has appeawed and is invading Hawkotan's Shiwonia pwovince. Aww pewsonnew, scwambwe and intewcept."""
RD_Event026_MES#0,"""Magatsu has been successfuwwy wepewwed. Thanks fow youw coopewation."""
RD_Event027_MES#0,"""Emewgency announcement. Pwoceed to Hawkotan to puwsue Magatsu. Aww AWKS opewatives, dispatch immediatewy to seek and destwoy Magatsu."""
RD_Event028_MES#0,"""The puwsuit of Magatsu has ended. Thanks go out to aww AWKS opewatives fow theiw coopewation."""
RD_Event029_MES#0,"""Emewgency announcement. [Pwofound Dawkness] weadings awe incweasing in the skies of Nabewius."""
RD_Event030_MES#0,"""Emewgency announcement. An opewation to destwoy the [Pwofound Dawkness] is undewway. Aww AWKS opewatives, wepowt to the quest countew to pawticipate in this uwgent mission."""
RD_Event031_MES#0,"""The [Pwofound Dawkness] has been wepewwed.  Aww AWKS opewatives, thank you fow youw coopewation."""
RD_Event040_MES#0,"""Emewgency bwoadcast. We'we picking up weadings of Dawk Fawz Appwentice on Wiwwipa. Aww AWKS opewatives shouwd pwepawe to engage."""
RD_Event041_MES#0,"""Emewgency announcement. Begin the opewation to we-seaw Dawk Fawz Appwentice. Aww AWKS opewatives, pwease sowtie to Wiwwipa's Mining Base fwom the quest countew."""
RD_Event042_MES#0,"""Dawk Fawz Appwentice has been successfuwwy we-seawed. Aww AWKS opewatives, thank you fow youw coopewation."""
RD_Event043_MES#0,"""Emewgency bwoadcast. We awe pwepawing fow a wawge-scawe opewation in wesponse to a massive outbweak of Phantom weadings on Eawth."""
RD_Event044_MES#0,"""Emewgency announcement. We awe conducting opewations to suppwess the massive Phantom outbweak on Eawth. Aww AWKS opewatives, wepowt fow duty at youw neawest quest countew."""
LS_Event004_MES#0,"""アークスの皆さま、地球親善大使の小林幸子でございます。これより、ショップエリアにてステージライブを行います。皆さま、どうぞお集まりくださいませ。"""
LS_Event005_MES#0,"""アークスの皆さま、地球親善大使の小林幸子でございます。まもなく、ショップエリアにてステージライブを行います。さぁ皆さま、宴のはじまりです！"""
RD_Event045_MES#0,"""Emewgency bwoadcast. Abnowmaw ethew weadings have been detected on Eawth's moon. Miwitawy pwepawations awe undewway."""
RD_Event046_MES#0,"""Emewgency bwoadcast. An opewation to defeat ESC-A Fawz Mothew on Eawth's moon has begun. Aww AWKS, pwease join the opewation at youw neawest quest countew."""
RD_Event047_MES#0,"""ESC-A Fawz Mothew has been defeated.  Aww AWKS, thank you fow youw coopewation."""
RD_Event048_MES#0,"""Emewgency bwoadcast. We have detected signs of Deus ESC-A appeawing on Eawth. Miwitawy pwepawations awe undewway."""
RD_Event049_MES#0,"""Emewgency bwoadcast. An opewation to defeat Deus ESC-A on Eawth has begun. Aww AWKS opewatives, pwease join the opewation at youw neawest quest countew."""
RD_Event050_MES#0,"""Deus ESC-A has weappeawed on Eawth. We have begun a new opewation westwicted to Wv.80 ow abuv AWKS opewatives in owdew to defeat it. Aww ewigibwe AWKS opewatives, pwease join the opewation at youw neawest quest countew."""
RD_Event051_MES#0,"""Deus ESC-A has been successfuwwy subdued. Thank you fow youw coopewation."""
RD_Event052_MES#0,"""Emewgency bwoadcast. We have detected signs of a massive Phantom outbweak on Eawth. Aww Wv.80 ow abuv AWKS opewatives, pwease join the opewation at youw neawest quest countew to begin ouw stwategic opewation."""
RD_Event053_MES#0,"""We have succeeded in wepewwing the massive Phantom outbweak on Eawth. We thank each AWKS fow theiw coopewation."""
Q_Event001_56_MES#0,"""Contacting evewyone. We have detected an abnowmaw change in Omega, the wowwd beyond. Thewe may be a huge battwe in the neaw futuwe. Pwease be pwepawed."""
Q_Event001_57_MES#0,"""Emewgency bwoadcast. An accident occuwwed in the Diffewent Wowwd - Omega. It seems a huge battwe occuwwed. We want you to huwwy down thewe and sowtie as soon as possibwe."""
Q_Event001_58_MES#0,"""The battwe in Omega has subsided. Thank you fow youw coopewation with the opewation."""
RD_Event054_MES#0,"""Contacting evewyone. We have confiwmed the appeawance of the Cwimson Eviw Dwagon in Omega. Pwepawe youwsewves and sowtie as soon as possibwe."""
RD_Event055_MES#0,"""Emewgency bwoadcast. The Cwimson Eviw Dwagon has been confiwmed to have been spotted neaw the wuins of the owd Cuent Castwe. We want you to huwwy down thewe and wepew this thweat as soon as possibwe."""
RD_Event056_MES#0,"""It appeaws that the Eviw Dwagon has wesumed its attacks. Aww AWKS opewatives who meet the specific wequiwements, pwease join the opewation at youw neawest quest countew to begin ouw stwategic opewation."""
RD_Event057_MES#0,"""It appeaws that the Eviw Dwagon has been wepuwsed. Thank you fow youw coopewation!"""
Q_Event001_59_MES#0,"""Aww AWKS awe instwucted to pwepawe fow a wawge-scawe suppwession opewation on Eawth."""
R_Event001_MES#0,"""We will be holding Interrupt Rankings starting at <%TSE_OpenLimetTime>. Be sure to participate!"""
R_Event002_MES#0,"""We are currently holding Time Attack Rankings. The current quest is [<%TSE_TA_Quset_Name> - <%TSE_TA_Quset_Difficulty>]. The competition will end at <%TSE_EndTime>. The target quest will give out increased experience, along with bonus clear meseta!"""
R_Event003_MES#0,"""Time Attack wanking has been compweted."""
R_Event004_MES#1,"""We awe cuwwentwy pwocessing Intewwupt Wanking wesuwts. Pwease stand by fow a futuwe announcement."""
R_Event005_MES#1,"""Interrupt Rankings have been updated. Please check a nearby Visiphone. The current top-ranked player is <%TSE_AllTopPlayer_Name>. Congratulations!"""
R_Event006_MES#0,"""We are currently holding Enemy Defeat Rankings. Your targets are <%TSE_Kill_Enamy_Level>+ <%TSE_Kill_Enamy_Name>. Points will be tallied until <%TSE_EndTime>. Bonus rare drop rates will apply to target enemies, regardless of level!"""
R_Event007_MES#0,"""現在、タイムアタックランキング開催中です。対象は「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。<%TSE_EndTime>までの集計です。対象のクエストはすべての難度でクリア報酬メセタにボーナスがつきます！"""
T_Event001_MES#0,"""The tawwying of this month's team wankings has begun. Pwease stand by fow an announcement."""
T_Event002_MES#0,"""Team ranking results have updated. Please check the details at your nearest Visiphone. This month's winners are [<%TSE_AllTopPlayer_Name>], [<%TSE_AllTopCharactor_Name>]. Congrats!"""
P_Event001_MES#0,"""Battwe wankings have been tawwied. Pwease cowwect youw wanking wewawds fwom Mimi, youw ship's AWKS Weague Administwatow."""
P_Event002_MES#0,"""Battwe wankings awe being tawwied. Pwease wait fow this to compwete."""
P_Event003_MES#0,"""The battwe wanking pewiod has stawted. Pwease check the battwe wanking infowmation fwom the main menu."""
TimeBomb_Title#0,"""Deactivate the Time Bombs"""
TimeBomb_Message#0,"""Please select a connection point to <br>disable the detonator."""
TimeBomb_1#0,"""Uppew"""
TimeBomb_2#0,"""Middwe"""
TimeBomb_3#0,"""Wowew"""
TimeBomb_Cancel#0,"""Cancew"""
PartyMakerMessage1#0,"""Additional Party Makers cannot be<br>placed as the maximum quantity<br>allowed has already been placed."""
PartyMakerMessage2#0,"""Party Maker will be removed.<br><br>Continue?"""
PartyMakerMessageTitle1#0,"""Pawty Makew Wemovaw Confiwmation"""
ClearTime#0,"""Cweaw Time $(0):$(1).$(2)"""
Totalorb#0,"""Totaw Battwe Coins"""
KillMvp#0,"""Most Kiwws MVP"""
AtkDamageMvp#0,"""Most Damage Infwicted MVP"""
DefDamageMvp#0,"""Most Damage Weceived MVP"""
CrystalMvp#0,"""Most Embwems Cowwected MVP"""
DeathMvp#0,"""Fewest Deaths MVP"""
PlayerName#0,"""$(0)"""
