VITA_Shortcut_Title#0,"""ショートカット一覧"""
VITA_Tab_Symbol#0,"""Symbow Alts"""
VITA_Tab_Chat#0,"""Chat"""
SubWindowChange1#0,"""<pict Sign_TRIANGLE>Switch"""
SubWindowChange2#0,"""<%Function>Switch"""
VITA_Target#0,"""発言先："""
StartChat#0,"""Stawt Chat"""
ScreenCommand_Item1#0,"""Take Scweenshot"""
ScreenCommand_Item2#0,"""Stawt/End Movie"""
ScreenShot_Item1#0,"""Hide Intewface"""
ScreenShot_Item2#0,"""Show in Scweenshot"""
VITA_Screen_Title#0,"""視点設定変更"""
VITA_UI_Menu#0,"""Camewa Menu"""
VITA_UI_Item1#0,"""Show"""
VITA_UI_Item2#0,"""None"""
VITA_View_Menu#0,"""視点調整"""
VITA_View_Item1#0,"""距離を近づける"""
VITA_View_Item2#0,"""距離を遠ざける"""
VITA_View_Item3#0,"""高さを上げる"""
VITA_View_Item4#0,"""高さを下げる"""
VITA_View_Item5#0,"""撮影する"""
VITA_View_Item6#0,"""初期化する"""
Camera_Title#0,"""Camewa Sewect"""
CameraLight_Title#0,"""Camewa / Wight Sewection"""
Menu_Normal#0,"""Nowmaw Camewa"""
Menu_Camera1#0,"""Fixed Camewa 1"""
Menu_Camera2#0,"""Fixed Camewa 2"""
Menu_Camera3#0,"""Fixed Camewa 3"""
Menu_NormalLight#0,"""Nowmaw Wight"""
Menu_FreeLightSetting#0,"""Custom Light Setting 1 <pict Arcscash>"""
Menu_FreeLightSetting2#0,"""Custom Light Setting 2 <pict Arcscash>"""
Menu_FreeLightSetting3#0,"""Custom Light Setting 3 <pict Arcscash>"""
Pop_ChangeCamera#0,"""Use"""
Pop_ChangeAngle#0,"""Change Angwe"""
Pop_UseFreeLight#0,"""Use"""
Pop_ChangeFreeLight#0,"""Change Settings"""
Info_ChangeCamera#0,"""This will save a new camera<br>angle on $(0).<br>Is that OK?"""
Message_ChangeCamera#0,"""Saved a new setting fow $(0)."""
Message_ExitEditingCamera#0,"""Cancewwed the editing of the Camewa Angwe."""
FreeCamera_CameraGuideSave#0,"""Save Camewa: """
FreeCamera_CameraGuide_Angle#0,"""Tuwn Camewa: """
FreeCamera_CameraGuide_Move#0,"""Muv Camewa: """
FreeCamera_CameraGuide_Height#0,"""Height: """
FreeCamera_CameraGuide_Rotate#0,"""Wotation: """
FreeCamera_CameraGuide_Zoom#0,"""Zoom: """
FreeCamera_CameraGuideReset#0,"""Camewa Weset: """
FreeCamera_CameraGuideResetVita#0,"""Camewa Weset: """
FreeCamera_CameraGuideCancel#0,"""Wetuwn: """
FreeCamera_CameraGuideSave_key#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_key#0,"""Mouse"""
FreeCamera_CameraGuide_Move_key#0,"""<%MultiSelect>＋<%MoveForward>/<%MoveBack>/<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Height_key#0,"""<%MoveForward>/<%MoveBack>"""
FreeCamera_CameraGuide_Rotate_key#0,"""<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Zoom_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_key#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_key#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
FreeCamera_CameraGuideSave_pad#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_pad#0,"""<%RStick>"""
FreeCamera_CameraGuide_Move_pad#0,"""<%MultiSelect>＋Left Stick"""
FreeCamera_CameraGuide_Height_pad#0,"""Weft Stick (Up/Down)"""
FreeCamera_CameraGuide_Rotate_pad#0,"""Weft Stick (Weft/Wight)"""
FreeCamera_CameraGuide_Zoom_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_pad#0,"""<%Cancel>"""
FreeLight_CameraGuideSave#0,"""Set Wight: """
Title_1#0,"""Custom Wight Setting 1"""
Title_2#0,"""Custom Wight Setting 2"""
Title_3#0,"""Custom Wight Setting 3"""
Title_ColorPicker#0,"""Cowow Adjustment"""
Title_ChangeFreeLight1#0,"""Set Wight 1"""
Title_ChangeFreeLight2#0,"""Set Wight 2"""
Title_ChangeFreeLight3#0,"""Set Wight 3"""
Headline_LightNum1#0,"""Adjust Wight 1"""
Headline_LightNum2#0,"""Adjust Wight 2"""
Headline_LightNum3#0,"""Adjust Wight 3"""
Button_1#0,"""Adjust Cowow"""
Button_2#0,"""Positioning"""
Button_3#0,"""Aww On"""
Button_4#0,"""Aww Off"""
Button_5#0,"""Set Aww"""
Text_1#0,"""Powew"""
icon_on#0,"""<pict icon_light_on>"""
icon_off#0,"""<pict icon_light_off>"""
Button_Decide#0,"""Confiwm"""
Button_Reset#0,"""Weset"""
Message_Initialization_all#0,"""This will setup all lights.<br><br>Is that OK?"""
Message_ChangeFreeLight#0,"""This will setup Light $(0).<br><br>Is that OK?"""
Toast_ChangeFreeLight#0,"""Wight $(0) has been configuwed."""
Toast_ExitFreeLight#0,"""Youw Pwemium has expiwed, you can not use this function."""
Toast_ExitEditinglight#0,"""Custom Wight Settings has been disabwed."""
ErrorTitle_ShaderSetting#0,"""Configuwation Ewwow"""
Error_ShaderSetting#0,"""カスタムライト設定は、シェーダー品質が<br>「高品質」の時のみ利用することができます。<br><br>ランチャー画面から環境設定を開き、<br>描画タブのシェーダー品質を変更してください。"""
Installation#0,"""Instaww Pawty Makew"""
Removal#0,"""Wemuv Pawty Makew"""
ExpireOut_HasTicket#0,"""Your premium has expired.<br><br>Would you like to use a ticket?"""
ExpireOut_Extend#0,"""Your premium has expired.<br><br>Would you like to renew your premium?"""
DirectBuy#0,"""To use My Shop, you'll need<br>to use premium.<br><br>Would you like to use premium?"""
DoPremiumUpdate#0,"""Extend Pwemium Pack"""
DoPremiumCharges#0,"""Use Pwemium Pack"""
ActiveStatus_Title#0,"""Change Fwiend Message"""
ActiveStatus_Info#0,"""相手のフレンドリストに表示するメッセージです。<br>「決定」ボタンを押すことで登録されます。<br><br>ゲームからログアウトすると<br>フレンドメッセージは表示されなくなります。<br>再び登録する場合はログインごとに<br>「決定」ボタンを押してください。"""
ActiveStatus_Comment#0,"""Fwiend Message"""
ActiveStatus_Send#0,"""Confiwm"""
ActiveStatus_Cancell#0,"""Cancew"""
ActiveStatus_PartyNum#0,"""$(0)／$(1)"""
ActiveStatus_ApcNum#0,"""(<pict apc_icon> $(0))"""
ActiveStatus_Connecting#0,"""Communicating..."""
ActiveStatus_Error#0,"""The message contains unusabwe chawactews."""
ActiveStatus_SendMessage#0,"""Message has been wegistewed."""
Title#0,"""Quick Menu"""
Caption1#0,"""Communication"""
Caption2#0,"""Pewfowm Menu"""
Caption3#0,"""Quest Menu"""
Caption4#0,"""Wobby Map"""
Caption5#0,"""Items"""
Caption6#0,"""My Data"""
Caption7#0,"""Twansfew Menu"""
Caption8#0,"""System"""
Caption9#0,"""Team"""
Caption10#0,"""Event"""
Caption11#0,"""Waising"""
Caption12#0,"""Pewsonaw Menu"""
Caption13#0,"""Photo Setup"""
OnlineStatus_1#0,"""Do Not Show"""
OnlineStatus_2#0,"""Wecwuiting Pawty Membews"""
OnlineStatus_3#0,"""Seeking Pawty"""
OnlineStatus_4#0,"""Away"""
OnlineStatus_5#0,"""Custom Message"""
OnlineStatus_Free#0,"""Wwite hewe"""
OnlineStatus_Decide_Vita#0,"""Set Status"""
OnlineStatus_FreeError_Title#0,"""Communication Ewwow"""
OnlineStatus_FreeError_Msg#0,"""Changing the custom message faiwed."""
ApcTacticsOrder_title#0,"""-"""
ApcTacticsOrder_1#0,"""-"""
ApcTacticsOrder_2#0,"""-"""
ApcTacticsOrder_3#0,"""-"""
ApcTacticsOrder_4#0,"""-"""
ApcTacticsOrderHint_1#0,"""-"""
ApcTacticsOrderHint_2#0,"""-"""
ApcTacticsOrderHint_3#0,"""-"""
ApcTacticsOrderHint_4#0,"""-"""
ApcTacticsOrderPb_title#0,"""Pawtnew Photon Bwast Instwuctions"""
ApcTacticsOrderPb_1#0,"""PB Wewease"""
ApcTacticsOrderPb_2#0,"""PB Chain"""
ApcTacticsOrderPbHint_1#0,"""Use Photon Bwast activewy."""
ApcTacticsOrderPbHint_2#0,"""Save Photon Blast until it can be <br>chained with the player."""
ApcTacticsOrderAttack_title#0,"""Pawtnew Battwe Pawticipation"""
ApcTacticsOrderAttack_1#0,"""Pawticipate in Battwe"""
ApcTacticsOrderAttack_2#0,"""Do Nothing"""
ApcTacticsOrderAttackHint_1#0,"""パートナーが戦闘状況に合わせて行動します。"""
ApcTacticsOrderAttackHint_2#0,"""Pawtnews wiww not pawticipate in battwe."""
CustomizeGuide#0,"""<%MultiSelect><c f0df60> Change Pattern"""
CustomizeGuideVita#0,"""<pict Sign_TRIANGLE><c f0df60> Change Pattern"""
ConfirmHideInterface#0,"""UIを非表示にします。<br>※クイックメニュー表示時に復帰（仮）"""
Title_chatmenu#0,"""Use Showtcut Wowd"""
InChallengeShip_DirectBuy_ErrorTitle#0,"""購入エラー"""
InChallengeShip_NotPremium_ErrorMessage#0,"""選択した機能の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>チャレンジブロックとバトルブロックでは<br><yellow>「プレミアムセット」<c>の購入はできません。<br>上記以外のブロックにてご購入ください。"""
PresetName0#0,"""Base Type"""
PresetName1#0,"""01. Miscewwaneous"""
PresetName2#0,"""02. Communication"""
PresetName3#0,"""03. Singwe Pway"""
PresetName4#0,"""04. Muwti-Pway"""
PresetName5#0,"""05. Muvment"""
PresetName6#0,"""06. Items"""
PresetName7#0,"""07. Events"""
PresetName8#0,"""08. Twaining"""
PresetName9#0,"""09. Dedicated Menu"""
PresetName10#0,"""10. Photogwaphy"""
EditSave#0,"""Save"""
EditCancel#0,"""Cancew"""
EditTitle#0,"""Change Quick Menu Pattewn"""
LobbyActionText#0,"""<%NextTabDetails><yellow>お気に入り登録/編集<c>"""
VITA_LobbyActionText#0,"""<pict Sign_select><yellow>お気に入り登録/編集<c>"""
VITA_FavoritesSwitching#0,"""<pict Sign_select>すべて/お気に入り 切替"""
LobbyAction_TypeA#0,"""<pict Key_SHIFT>+決定キー<yellow>異性アクションの実行<c>"""
LobbyAction_TypeB#0,"""<%Function>+<%Decide><yellow>異性アクションの実行<c>"""
LobbyAction_TypeC#0,"""<pict Sign_TRIANGLE>+<pict Sign_CIRCLE><yellow>異性アクションの実行<c>"""
