ExchangeCancelMessage#0,"""This will cancel the exchange.<br>Continue?"""
ExchangeCoinInsufficient#0,"""Insufficient Casino Coins."""
ExchangeResultTitle#0,"""Item Exchange"""
ExchangeResultMessage1#0,"""Items weceived."""
ExchangeResultMessage2#0,"""Exchange failed. Would exceed <br>item stack limit, or your inventory <br>is full."""
ExchangeDBAccessMessage#0,"""Could not receive reward <br>due to server congestion."""
LimitedItem#0,"""<yellow>Limited<c>"""
LimitedItemTitle1#0,"""<yellow>Exchangeable<c>"""
LimitedItemTitle2#0,"""<yellow>Reset Date<c>"""
LimitedItemText1#0,"""Can Exchange Up To $(0)"""
LimitedItemText2#0,"""$(0) Weft"""
LimitedItemTitle3#0,"""Exchange Item Info"""
title_big_gacha#0,"""Coin Exchangew"""
2gide_big_gacha#0,"""<c f0df60>You can trade in Casino Coin Passes for casino coins here.<c>"""
content_big_gacha#0,"""Coin Exchangew"""
mawasu_gacha#0,"""Tuwn the Coin Exchangew"""
Play_1Time#0,"""Tuwn Once"""
Play_5Time#0,"""Tuwn Five Times"""
Return#0,"""Wetuwn"""
PrizeInfo#0,"""Pwize Infowmation"""
PosCoin#0,"""Possibwe Coin Wewawds"""
PlayConfirmTitle#0,"""Confiwmation"""
PlayConfirm#0,"""This will consume $(0) Casino Coin Pass(es).<br>Continue?<br><br>(Casino Coins Possessed: $(1))"""
CoinPassMiss#0,"""You do not have enough Casino Coin Passes."""
SystemError#0,"""Couwd not exchange."""
SuccessMessage#0,"""You weceived casino coins."""
ExplainMessage#0,"""$(0)～$(1)<pict AmusementCoin>"""
ExplainMessage2#0,"""<c ffff00>$(0)～$(1)<pict AmusementCoin>(During Campaign)<c>"""
Step_1#0,"""<c ffffff>$(0)<c><pict AmusementCoin>"""
Step_2#0,"""<c 00ff00>$(0)<c><pict AmusementCoin>"""
Step_3#0,"""<c ffa800>$(0)<c><pict AmusementCoin>"""
Step_4#0,"""<c ffff00>$(0)<c><pict AmusementCoin>"""
CoinPlayMax#0,"""所持カジノコインは、<br>$(0)を超えた分は所持することができません。<br>それでも、まわしますか？"""
CampaignText#0,"""-"""
SuperCampaignText#0,"""-"""
react_red1#0,"""It tastes dewicious! (◇◇◇◇◇)"""
react_red2#0,"""This is the most popuwaw fwavow. (◇◇◇◇)"""
react_red3#0,"""It wasn't bad... but it wasn't that good. (◇◇◇)"""
react_red4#0,"""I didn't weawwy wike the taste... (◇◇)"""
react_red5#0,"""What a... unique taste. (◇)"""
react_blue1#0,"""This puts me in a gweat mood! (♪♪♪♪♪)"""
react_blue2#0,"""What a wefweshing feewing. (♪♪♪♪)"""
react_blue3#0,"""I awways feew this way. (♪♪♪)"""
react_blue4#0,"""I feew a bit down... (♪♪)"""
react_blue5#0,"""I'm tiwed and exhausted. (♪)"""
react_purple1#0,"""Youw Fowtune: Excewwent wuck! (☆☆☆☆☆)"""
react_purple2#0,"""Youw Fowtune: Good wuck! (☆☆☆☆)"""
react_purple3#0,"""Youw Fowtune: Wucky. (☆☆☆)"""
react_purple4#0,"""Youw Fowtune: Howwibwe! (☆☆)"""
react_purple5#0,"""Youw Fowtune: Vewy bad wuck!! (☆)"""
title_shooter#0,"""Mesetan Shootew"""
2gide_shooter#0,"""<c f0df60>You can play Mesetan Shooter with up to 4 people!<c>"""
2gide_shooter_item#0,"""<c f0df60>$(0)<pict AmusementCoin>で$(1)倍<c>"""
content_shooter#0,"""Mesetan Shootew"""
shooter_help#0,"""Shoot: <%NormalAttack> Movement: <%LStick> Camera: <%RStick> Quit mid-wave: <%MainMenu>"""
shooter_help_key#0,"""Shoot: <%NormalAttack> Movement: <%MoveLeft>/<%MoveRight> Camera: Move mouse Quit mid-wave: Esc"""
away_confirmation#0,"""Quit confiwmation"""
away_button#0,"""Quit"""
shooter_result#0,"""Mesetan Shootew Wesuwts"""
shooter_result_comment#0,"""Wouwd you wike to continue pwaying?"""
acquisition_cc#0,"""Earned <pict AmusementCoin>"""
possession_cc#0,"""Total <pict AmusementCoin>"""
rate_1#0,"""Bwonze"""
rate_2#0,"""Siwvew"""
rate_3#0,"""Gowd"""
shooter_menu_item#0,"""$(0) Mode"""
cc_with_icon#0,"""$(0) <pict AmusementCoin>"""
shooter_result_item#0,"""Use $(0)<pict AmusementCoin> to Play ($(1) Mode)"""
contents_info_title#0,"""Mesetan Shootew Infowmation"""
contents_info#0,"""<space>"""
contents_info_rate#0,"""$(0) Mode"""
player_num#0,"""Pwayews: $(1)/$(0)"""
shooter_menu_message#0,"""$(0) <pict AmusementCoin><br>to play Mesetan Shooter.<br>Continue?<br><br>(Current <pict AmusementCoin>: $(1))<br><br>Some party and quest related<br>messages will not be relayed<br>while playing Mesetan Shooter."""
shooter_menu_coin_message#0,"""Insufficient Casino Coins."""
away_message#0,"""Coins earned will be paid out<br>when you leave Mesetan Shooter.<br><br>Continue?"""
line_message#0,"""Waiting... <br>Please wait until the end of the current wave."""
toast_playing#0,"""You cannot pway because othew pwayews awe pwaying."""
toast_burst_failed#0,"""Othew pwayews awe in a PSE Buwst. Pwease wait."""
toast_coin_message#0,"""You do not have enough coins to continue pwaying."""
CampaignText#1,"""Boosted PSE wevew accumuwation"""
SuperCampaignText#1,"""PSE Level Multiplier <yellow>Super Boosted!<c>"""
title_slot#0,"""Wappy Swots"""
2gide_slot#0,"""<c f0df60>Play the Rappy Slot<c>"""
content_slot#0,"""Wappy Swots"""
bet_maisu#0,"""Amount to Bet"""
Coin#1,"""Casino Coins"""
slot_tonyu#0,"""Input"""
slot_help#0,"""Input\u3000\u3000\u3000/← →<br>Start\u3000\u3000\u3000/Enter<br>Exit\u3000\u3000\u3000/Esc<br>Payout Info\u3000\u3000\u3000/End<br>Help\u3000\u3000\u3000\u3000/Home"""
slot_haitohyo#0,"""Payout Info"""
SlotInfo#0,"""Basic Infowmation"""
SlotBonus#0,"""Numbew of Bonus Wins"""
SlotMeter#0,"""Wappy Metew"""
SlotJackpot#0,"""JACKPOT"""
SlotMenuPlay#0,"""Pway Swots"""
SlotMenuBack#0,"""Wetuwn"""
SlotMenuTitle#0,"""Wappy Swots Infowmation"""
BasicInfo#0,"""1 Play: 1～5<pict AmusementCoin>"""
BonusNum#0,"""$(0) time(s)"""
RappyOn#0,"""<pict slot_rappy_on>"""
RappyOff#0,"""<pict slot_rappy_off>"""
EndConfirmTitle#0,"""Exit Confiwmation"""
EndConfirm#0,"""This will exit Rappy Slots.<br>Continue?"""
CoinNum#0,"""$(0) <pict AmusementCoin>"""
InfoCoinNum#0,"""x $(0)"""
InfoStr00#0,"""+bonusgame"""
InfoStr01#0,"""metew+1"""
InfoCoin_01#0,"""x100"""
InfoCoin_02#0,"""x 30"""
InfoCoin_03#0,"""x 15"""
InfoCoin_04#0,"""x10"""
InfoCoin_05#0,"""x 8"""
InfoCoin_06#0,"""x 5"""
InfoCoin_07#0,"""x 3"""
Help_00#0,"""Input"""
Help_01#0,"""Stawt"""
Help_02#0,"""Payout Info"""
Help_03#0,"""Cwose"""
Help_04#0,"""Chat"""
Help_10#0,"""[↑][↓] Key"""
Help_10a#0,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_10b#0,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_10c#0,"""<pict Number_UP><pict Number_DOWN>"""
Help_11#0,"""<%Decide>"""
Help_12#0,"""[←][End] Key"""
Help_12a#0,"""<pict Alpha_LEFT>"""
Help_12b#0,"""<pict Sign_LEFT>"""
Help_12c#0,"""<pict Number_LEFT>"""
Help_13#0,"""<%Cancel>/[ESC] Key"""
Help_13a#0,"""<%Cancel>"""
Help_14#0,"""<pict Sign_SELECT>"""
Help_14a#0,"""<pict Sign_START>"""
SlotInitMsg#0,"""-,---,---"""
NoCoinTitle#0,"""Casino Coin Ewwow"""
NoCoinMessage#0,"""Insufficient Casino Coins."""
WaitLongMsg#0,"""You weft because the fixed time Wappy Swot was not pwayed."""
ChanceModeExplanation#0,"""/mn17 Pipipi♪<br>The probability of WILD symbols is rising! This is great! Pipipi!"""
BonusModeExplanation#0,"""/mn38 /toge Pipipi♪♪ A Wappy PSE Buwst is happening because of the WIWD symbows! Hewe's youw chance to eawn some coins!"""
JackpotText#0,"""/mn22 /toge $(0)!<br>Pipi! Amazing! Pipipi!"""
TipsText0#0,"""/mn9 A WIWD wainbow symbow can match any othew symbow! Pipipi!"""
TipsText1#0,"""/mn1 Footpwints awe... bad to get."""
TipsText2#0,"""/mn9 Once you've fiwwed the Wappy Metew, time it wight and aim fow the WIWD symbow! Pipi!"""
TipsText3#0,"""/mn9 Duwing a Wappy PSE Chance, the WIWD symbow is stuck in the middwe!"""
TipsText4#0,"""/mn9 You have a big chance at winning duwing a Wappy PSE Buwst!"""
TipsText5#0,"""/mn9 You'ww get a jackpot if aww the symbows awe wiwd. Pipipi!"""
TipsText6#0,"""/mn9 If you hit the jackpot, you'ww get a wot of coins! Pipipi!"""
TipsText7#0,"""/mn9 This game is just wike pwaying with dice. Maybe you shouwd bwow on it fow good wuck? Pipipi!"""
TipsText8#0,"""/mn9 The payout amount is dependent on the amount you bet!"""
TipsText9#0,"""/mn9 Duwing a Wappy PSE Chance, youw bet is wocked in untiw the end!"""
TipsText10#0,"""/mn16 /moya Today is a fine day to hit a jackpot, don't you think?"""
TipsText11#0,"""/moya /mn4 Pwease, pwease, pwease hit!"""
TipsText12#0,"""/mn15 Twy it again, you can't just give up! Pipipi!"""
TipsText13#0,"""/mn7 Wappy god, pwease give me tuna!"""
TipsText14#0,"""/mn10 Once you hit the jackpot, you can get awwww the pwizes you want!"""
TipsText15#0,"""/mn20 Pipipi! Coins awe going to stawt pouwing out soon!"""
TipsText16#0,"""I want a Wappy PSE Buwst! Pipipi!"""
TipsText17#0,"""If you keep going... you're sure to get a<br>Rappy PSE Burst! Pipipi!"""
TipsText18#0,"""/mn1 The wheews spins so fast, my eyes can't keep up with it. Pipipi!"""
TipsText19#0,"""/moya I wanna see a jackpot, just once! Pipipi!"""
CampaignText#2,"""Boosted Wappy PSE Buwst Chance"""
SuperCampaignText#2,"""Rappy PSE Chance <yellow>Super Boosted!<c><br>WILD Probability <yellow>Doubled!<c>"""
TopMenu#0,"""Menu"""
MenuSlot#0,"""Swots"""
MenuShooter#0,"""Shootew"""
SubMenuSlot#0,"""Swot menu"""
SlotAnimeTest#0,"""Animation Test"""
SlotInfoTest#0,"""情報表示テスト"""
SubMenuGacha#0,"""Coin Exchangew"""
SubMenuBlackjack#0,"""Bwack Nyack Menu"""
SlotInfo_01#0,"""Amount to Bet"""
SlotInfo_02#0,"""Stawt"""
SlotInfo_03#0,"""Payout Info"""
SlotInfo_04#0,"""Cwose"""
access#0,"""現在のジャックポットは$(0)枚です。<br><br><yellow>\u3000※ジャックポット枚数が500000に到達すると<br>\u3000ジャックポット発生確率アップ！<c>"""
balloon_help#0,"""Press <%PhotonArts> to let go."""
RouletteFullScreenTitle#0,"""Wii Wii Wouwette"""
RouletteGuide#0,"""<c f0df60>You can play the Lii Lii Roulette.<c>"""
RouletteTitle#0,"""Wii Wii Wouwette"""
RouletteBETTitle#0,"""Wii Wii Wouwette"""
RouletteBETMessageAa#0,"""<yellow>You can bet $(0) more.<c>"""
RouletteBETMessageAb#0,"""<red>You can only place two bets at a time.<c>"""
RouletteBETMessageB#0,"""<yellow>Choose your number of bets.<c>"""
RouletteBETMessage#0,"""BETした場合結果を確認するまでエリア移動を<br>行わないことを推奨します。<br>正常に支払われない可能性があります。<br><br>自分のBET枚数：$(0)<pict AmusementCoin><br>全体のBET枚数：$(1)<pict AmusementCoin>"""
RouletteBETMessage2#0,"""<yellow>$(0)<c>"""
RouletteInfoTitle#0,"""Pwevious Wesuwts"""
RouletteInfoHead1#0,"""<c ffc85a>Final<c>"""
RouletteInfoHead2#0,"""<c ffc85a>2<c>"""
RouletteInfoHead3#0,"""<c ffc85a>3<c>"""
RouletteInfoHead4#0,"""<c ffc85a>4<c>"""
RouletteInfoHead5#0,"""<c ffc85a>5<c>"""
RouletteInfoHead6#0,"""<c ffc85a>6<c>"""
RouletteInfoHead7#0,"""<c ffc85a>7<c>"""
RouletteInfoHead8#0,"""<c ffc85a>8<c>"""
RouletteInfoHead9#0,"""<c ffc85a>9<c>"""
RouletteInfoHead10#0,"""<c ffc85a>10<c>"""
RouletteInfoHead11#0,"""<c ffc85a>11<c>"""
RouletteInfoHead12#0,"""<c ffc85a>12<c>"""
RouletteInfoHead13#0,"""<c ffc85a>13<c>"""
RouletteInfoHead14#0,"""<c ffc85a>14<c>"""
RouletteInfoHead15#0,"""<c ffc85a>15<c>"""
RouletteInfoHead16#0,"""<c ffc85a>16<c>"""
RouletteInfoHead17#0,"""<c ffc85a>17<c>"""
RouletteInfoHead18#0,"""<c ffc85a>18<c>"""
RouletteInfoHead19#0,"""<c ffc85a>19<c>"""
RouletteInfoHead20#0,"""<c ffc85a>20<c>"""
RouletteColor1#0,"""Wed"""
RouletteColor2#0,"""Bwue"""
RouletteColor3#0,"""Gween"""
RouletteMiss#0,"""Miss!"""
RouletteChance#0,"""Chance!"""
RouletteBonus#0,"""Twipwe Chance!"""
RouletteFailure#0,"""Faiwed!"""
RouletteResultAnd#0,"""and $(0)"""
RouletteResultFrame#0,"""[$(0)]"""
RouletteResultName#0,"""$(0)$(1)"""
RouletteColorMessage1#0,"""<red>$(0)<c>"""
RouletteColorMessage2#0,"""<blue>$(0)<c>"""
RouletteColorMessage3#0,"""<c 00552e>$(0)<c>"""
RoulettePayoutCoins#0,"""Wii Wii Wouwette: Paid out $(0)."""
RoulettePayoutNone#0,"""Wii Wii Wouwette: No payout."""
RouletteBetSuccesss#0,"""Bet pwaced."""
RouletteBetErrorState#0,"""Cannot pwace bets wight now."""
RouletteBetErrorCoin#0,"""Insufficient coins."""
RouletteBetErrorMaxCoin#0,"""Cannot exceed maximum bet vawue."""
RouletteBetErrorMaxBet#0,"""Cannot exceed maximum concuwwent bets."""
RouletteCancelSuccesss#0,"""Bets cancewwed."""
RouletteCancelErrorState#0,"""Betting pewiod has ended. Couwd not cancew."""
RouletteCancelErrorCoin#0,"""No bet has been pwaced. Couwd not cancew."""
RouletteBetTerminal#0,"""Betting Tewminaw"""
RouletteBetTerminalAccess#0,"""$(0) to Bet"""
RouletteBetMagnification#0,"""Muwtipwiew: $(0)x"""
RouletteBetNone#0,"""None"""
RouletteMenuBetCoins#0,"""Add $(0)<pict AmusementCoin>"""
RouletteMenuBetCancel#0,"""Bet Cancewwation"""
RouletteMenuClose#0,"""Wetuwn"""
RouletteCampaignText#0,"""Doubwe Chance pwobabiwity boost"""
SuperRouletteCampaignText#0,"""Double Chance probability <yellow>Super Boost!<c>"""
RouletteBETInfo#0,"""Cuwwent Bet"""
RouletteBETCoinsDisplay#0,"""$(0) <pict AmusementCoin>"""
RouletteAnyNumber#0,"""1-5"""
RouletteNpc_ChanceSelectStart#0,"""/mn9"""
RouletteNpc_ChanceSelectEnd#0,"""-"""
RouletteNpc_RouletteStart#0,"""-"""
RouletteNpc_BetStart#0,"""-"""
RouletteNpc_BetEndNearly#0,"""/mn15"""
RouletteNpc_BetEnd#0,"""-"""
RouletteNpc_ChanceStart#0,"""/toge /mn22"""
RouletteNpc_BonusStart#0,"""/toge /mn22"""
RouletteNpc_RouletteEnd#0,"""-"""
RouletteNpc_ResultHit01#0,"""-"""
RouletteNpc_ResultHit02#0,"""-"""
RouletteNpc_ResultNoHit01#0,"""/mn4"""
RouletteNpc_ResultNoHit02#0,"""/mn1"""
RouletteNpc_ResultNoHit03#0,"""/mn2"""
RouletteNpc_Response01#0,"""/toge"""
RouletteNpc_Response02#0,"""-"""
RouletteNpc_TalkOne01#0,"""-"""
RouletteNpc_TalkOne02#0,"""-"""
RouletteNpc_TalkOne03#0,"""-"""
RouletteNpc_TalkOne04#0,"""-"""
RouletteNpc_TalkOne05#0,"""-"""
RouletteNpc_TalkOne06#0,"""-"""
RouletteNpc_TalkOne07#0,"""-"""
RouletteNpc_TalkOne08#0,"""-"""
RouletteNpc_TalkOne09#0,"""-"""
RouletteNpc_TalkOne10#0,"""-"""
RouletteNpc_ChanceResponse01#0,"""-"""
RouletteNpc_ChanceResponse02#0,"""/toge"""
RouletteNpc_Explosion#0,"""/toge"""
RouletteNpc_Name#0,"""Wed Wiwwipan"""
RouletteNpc_ChanceSelectStart#1,"""Take a chance!"""
RouletteNpc_ChanceSelectEnd#1,"""Chances awe done!"""
RouletteNpc_RouletteStart#1,"""ルーレットスタートするぜ！"""
RouletteNpc_BetStart#1,"""Pwace youw bets!"""
RouletteNpc_BetEndNearly#1,"""Betting is awmost uvw!"""
RouletteNpc_BetEnd#1,"""Betting cwosed!"""
RouletteNpc_ChanceStart#1,"""$(0)!"""
RouletteNpc_BonusStart#1,"""Coow, $(0)!"""
RouletteNpc_RouletteEnd#1,"""Wouwette: Wesuwts $(0) $(1) $(2) $(3)"""
RouletteNpc_ResultHit01#1,"""$(0)<br>won $(1)!"""
RouletteNpc_ResultHit02#1,"""$(1) othews got $(0), too!"""
RouletteNpc_ResultNoHit01#1,"""Maybe next time!"""
RouletteNpc_ResultNoHit02#1,"""One of these days you'ww win..."""
RouletteNpc_ResultNoHit03#1,"""You've weawwy got to change youw wuck!"""
RouletteNpc_Response01#1,"""You'we swimming in it now!"""
RouletteNpc_Response02#1,"""Woo hoo!"""
RouletteNpc_TalkOne01#1,"""You can pwace 15 bets when wagewing on cowows and numbews."""
RouletteNpc_TalkOne02#1,"""You've got thwee times the chances in Twipwe Chance Wouwette!"""
RouletteNpc_TalkOne03#1,"""You can wagew up to 100 coins pew bet."""
RouletteNpc_TalkOne04#1,"""You can pwace up to two bets."""
RouletteNpc_TalkOne05#1,"""You can cancew youw bet as wong as betting is open."""
RouletteNpc_TalkOne06#1,"""Check out youw pewsonaw wecowd."""
RouletteNpc_TalkOne07#1,"""When in doubt, wemembew that it's onwy a game!"""
RouletteNpc_TalkOne08#1,"""Wouwette doesn't keep a wecowd."""
RouletteNpc_TalkOne09#1,"""It's easiew to win when you bet on a cowow."""
RouletteNpc_TalkOne10#1,"""Wide the waves!"""
RouletteNpc_ChanceResponse01#1,"""It's the Chance Wouwette!"""
RouletteNpc_ChanceResponse02#1,"""Cwoss youw fingews!"""
RouletteNpc_Explosion#1,"""You bombed!"""
RouletteNpc_ChanceSelectStart#2,"""-"""
RouletteNpc_ChanceSelectEnd#2,"""-"""
RouletteNpc_RouletteStart#2,"""-"""
RouletteNpc_BetStart#2,"""-"""
RouletteNpc_BetEndNearly#2,"""/mn18"""
RouletteNpc_BetEnd#2,"""-"""
RouletteNpc_ChanceStart#2,"""/toge /mn20"""
RouletteNpc_BonusStart#2,"""/toge /mn20"""
RouletteNpc_RouletteEnd#2,"""-"""
RouletteNpc_ResultHit01#2,"""-"""
RouletteNpc_ResultHit02#2,"""-"""
RouletteNpc_ResultNoHit01#2,"""/mn2"""
RouletteNpc_ResultNoHit02#2,"""/mn8"""
RouletteNpc_ResultNoHit03#2,"""-"""
RouletteNpc_Response01#2,"""-"""
RouletteNpc_Response02#2,"""/mn22"""
RouletteNpc_TalkOne01#2,"""-"""
RouletteNpc_TalkOne02#2,"""-"""
RouletteNpc_TalkOne03#2,"""-"""
RouletteNpc_TalkOne04#2,"""-"""
RouletteNpc_TalkOne05#2,"""-"""
RouletteNpc_TalkOne06#2,"""-"""
RouletteNpc_TalkOne07#2,"""-"""
RouletteNpc_TalkOne08#2,"""-"""
RouletteNpc_TalkOne09#2,"""-"""
RouletteNpc_TalkOne10#2,"""-"""
RouletteNpc_ChanceResponse01#2,"""-"""
RouletteNpc_ChanceResponse02#2,"""/toge"""
RouletteNpc_Explosion#2,"""/toge"""
RouletteNpc_Name#1,"""Bwue Wiwwipan"""
RouletteNpc_ChanceSelectStart#3,"""チャンスマスを決定します"""
RouletteNpc_ChanceSelectEnd#3,"""チャンスマスが決定しました"""
RouletteNpc_RouletteStart#3,"""Stawting Wouwette!"""
RouletteNpc_BetStart#3,"""BETタイム開始です"""
RouletteNpc_BetEndNearly#3,"""BETタイム終了が間近です"""
RouletteNpc_BetEnd#3,"""BETタイム終了です"""
RouletteNpc_ChanceStart#3,"""$(0)に止まりました"""
RouletteNpc_BonusStart#3,"""$(0)です！"""
RouletteNpc_RouletteEnd#3,"""Wouwette: Wesuwts awe $(0)$(1)$(2)$(3)"""
RouletteNpc_ResultHit01#3,"""The winner $(0)<br>won $(1) coins!"""
RouletteNpc_ResultHit02#3,"""$(0)枚、$(1)名が獲得しました"""
RouletteNpc_ResultNoHit01#3,"""厳しい結果でした"""
RouletteNpc_ResultNoHit02#3,"""次のゲームが勝負です"""
RouletteNpc_ResultNoHit03#3,"""勝ちを諦めたら負けです"""
RouletteNpc_Response01#3,"""I'm so happy fow you."""
RouletteNpc_Response02#3,"""素晴らしい！"""
RouletteNpc_TalkOne01#3,"""数字賭けの配当は5倍です"""
RouletteNpc_TalkOne02#3,"""チャンスマス停止は期待が膨らみます"""
RouletteNpc_TalkOne03#3,"""1箇所にBETできるのは100枚迄です"""
RouletteNpc_TalkOne04#3,"""最大２箇所迄BETが可能です"""
RouletteNpc_TalkOne05#3,"""過去の履歴は判断材料になります"""
RouletteNpc_TalkOne06#3,"""直感を信じることも大事です"""
RouletteNpc_TalkOne07#3,"""勝ち負けよりも収支が重要です"""
RouletteNpc_TalkOne08#3,"""BETタイム中はBETのキャンセルができます"""
RouletteNpc_TalkOne09#3,"""履歴を参考にするのも手です"""
RouletteNpc_TalkOne10#3,"""稀に連続して同じ結果が出ます"""
RouletteNpc_ChanceResponse01#3,"""チャンスルーレットです"""
RouletteNpc_ChanceResponse02#3,"""期待したいですね"""
RouletteNpc_Explosion#3,"""不覚っ！"""
RouletteNpc_ChanceSelectStart#4,"""/mn6"""
RouletteNpc_ChanceSelectEnd#4,"""-"""
RouletteNpc_RouletteStart#4,"""-"""
RouletteNpc_BetStart#4,"""-"""
RouletteNpc_BetEndNearly#4,"""/mn17"""
RouletteNpc_BetEnd#4,"""-"""
RouletteNpc_ChanceStart#4,"""/toge /mn16"""
RouletteNpc_BonusStart#4,"""/toge /mn16"""
RouletteNpc_RouletteEnd#4,"""-"""
RouletteNpc_ResultHit01#4,"""-"""
RouletteNpc_ResultHit02#4,"""-"""
RouletteNpc_ResultNoHit01#4,"""/mn13"""
RouletteNpc_ResultNoHit02#4,"""-"""
RouletteNpc_ResultNoHit03#4,"""/moya"""
RouletteNpc_Response01#4,"""/moya"""
RouletteNpc_Response02#4,"""-"""
RouletteNpc_TalkOne01#4,"""-"""
RouletteNpc_TalkOne02#4,"""-"""
RouletteNpc_TalkOne03#4,"""-"""
RouletteNpc_TalkOne04#4,"""-"""
RouletteNpc_TalkOne05#4,"""-"""
RouletteNpc_TalkOne06#4,"""-"""
RouletteNpc_TalkOne07#4,"""-"""
RouletteNpc_TalkOne08#4,"""-"""
RouletteNpc_TalkOne09#4,"""-"""
RouletteNpc_TalkOne10#4,"""-"""
RouletteNpc_ChanceResponse01#4,"""-"""
RouletteNpc_ChanceResponse02#4,"""/toge"""
RouletteNpc_Explosion#4,"""/toge"""
RouletteNpc_Name#2,"""Gween Wiwwipan"""
RouletteNpc_ChanceSelectStart#5,"""チャンスマスを決定するよ"""
RouletteNpc_ChanceSelectEnd#5,"""チャンスマスが決定したわ"""
RouletteNpc_RouletteStart#5,"""Wouwette stawt!"""
RouletteNpc_BetStart#5,"""Betting time stawt!"""
