MenuTitle#0,"""Twade Shop"""
ITEM07#0,"""CC Wimit Exp."""
ITEM08#0,"""ITEM08"""
ITEM09#0,"""ITEM09"""
ITEM10#0,"""ITEM10"""
ITEM11#0,"""ITEM11"""
ITEM12#0,"""ITEM12"""
ITEM13#0,"""ITEM13"""
ITEM14#0,"""ITEM14"""
ITEM15#0,"""ITEM15"""
ITEM16#0,"""ITEM16"""
ITEM17#0,"""ITEM17"""
ITEM18#0,"""ITEM18"""
ITEM19#0,"""ITEM19"""
ITEM20#0,"""ITEM20"""
ITEM21#0,"""ITEM21"""
ITEM22#0,"""ITEM22"""
ITEM23#0,"""ITEM23"""
ITEM24#0,"""ITEM24"""
ITEM25#0,"""ITEM25"""
ITEM26#0,"""Matewiaw Stowage"""
ITEM27#0,"""Ex. Stowage 4"""
ITEM28#0,"""Ex. Stowage 5"""
ITEM29#0,"""Ex. Stowage 1"""
ITEM30#0,"""Ex. Stowage 2"""
ITEM31#0,"""Ex. Stowage 3"""
TimesaleTitle#0,"""Wimited Time Sawe!"""
MenuTitle#2,"""Sick Bay"""
MenuTitleCampship#0,"""Medicaw Tewminaw"""
MenuGuide#2,"""<c f0df60>Here you can purchase different Buff Drinks that will strengthen you during your next quest.<c>"""
CategoryAtp#0,"""Attack Boost"""
CategoryDef#0,"""Defense Boost"""
CategoryHp#0,"""HP Boost"""
CategoryPp#0,"""PP Boost"""
CategoryRandom#0,"""Wandom Effect"""
BuyCheck#0,"""Are you sure you want to purchase<br>a $(0) for $(1) Meseta?"""
ErrorDrinked#0,"""Already using a drink.<br>Please clear a quest to use a<br>different one."""
ErrorNotMeseta#0,"""Insufficient Meseta."""
ErrorQuestFinished#0,"""Current quest has been completed.<br>Cannot use a drink until a new<br>quest is accepted."""
ErrorNotPremium#0,"""You cannot dwink this because you awe not Pwemium."""
ErrorOther#0,"""Drink effect did not occur.<br><br>Error code [2101]"""
DrinkEffectMessage#0,"""The following effect(s) have been granted.<br>(Effective for a limited time,<br>or for the next quest)"""
DrinkEffectMessage_Premium#0,"""The following <yellow>Premium effect(s)<c> have been granted.<br>(Effective for a limited time,<br>or for the next quest)"""
CheckTitle#0,"""Dwink Puwchase Confiwmation"""
SubEffect#0,"""<space>"""
SubEffectPremium#0,"""<space>"""
DrinkMenu#0,"""Dwinks Menu"""
DrinkEffect#0,"""Dwink Effects"""
Main#0,"""Main Effect"""
Sub#0,"""Add. Effect"""
StopDrink#0,"""Pause boost item effect."""
BuyCheck_SuspendWarning#0,"""$(0) will be purchased<br>for $(1) Meseta.<br>Continue?<br><br><c f0df60>※Because [Pause Boost Item Effect] is active,<br>the timer of active drink and boost items<br>will be paused.<c>"""
ItemEffect_SuspendHint#0,"""If you take a drink when you enable<br>this setting to ON, the boost effects<br>from items are paused.<br><br><yellow>※Pause effects last as long as the<br>drink used.<c>"""
ShopTitle#0,"""NetCafe Countew"""
MenuGuide#3,"""<c f0df60>Here you can trade in the Cafe Points you can only gain through Net Cafes, or buy from an assortment of original goods using Meseta.<c>"""
MenuGuide_v#0,"""<c f0df60>ネットカフェご利用中に増える「カフェポイント」での商品購入と「メセタ」での商品購入が行えます。<c>"""
PointGuide#0,"""<c f0df60>Choose the item you would like to buy for Cafe Points.<c>"""
MesetaGuide#0,"""<c f0df60>【Only when connected through a NetCafe】 Pick the item you would like to purchase.<c>"""
MenuTitle#3,"""Main Menu"""
MenuPointShop#0,"""Twade in youw Cafe Points fow items"""
MenuMesetaShop#0,"""Buy Items (NetCafe Onwy)"""
MenuExit#0,"""Weave the Countew"""
NetcafeInfoTitle#0,"""NetCafe Info"""
NetcafeInfoShopName#0,"""Shop Name"""
CpDenomination#0,"""CP"""
CashTitle#0,"""Cuwwent Cafe Points"""
TotalCashTitle#0,"""Totaw Cafe Points"""
PaperDoll#0,"""Pweview"""
SwapTitle#0,"""Puwchase Confiwmation"""
BuyTitle#0,"""Puwchase Confiwmation"""
BuyCheck#1,"""These items will cost $(1) $(0).<br>Continue with purchase?"""
CancelTitle#1,"""Confiwm Puwchase Cancewwation"""
CancelMessage#1,"""This wiww cancew the puwchase. Continue?"""
CafePointInsufficient#0,"""Insufficient Cafe Points."""
MenuConnectTime#0,"""NetCafe Time"""
ConnectTimeTitle#0,"""Cuwwent Pwaytime"""
ConnectTimeMessage#0,"""■Your total NetCafe time:<br>\u3000$(0)"""
NetCafeEventInfo#0,"""<br><br>■『$(1)』<br>\u3000接続時間：$(3)（$(2)で報酬獲得）<br>\u3000\u3000※開催期間 $(0) まで"""
ShopTitle#1,"""Wecycwe Shop"""
ShopTitle_k_m#0,"""Shiny/Spewwstone Shop"""
ShopTitle_m#0,"""Spewwstone Exchange Shop"""
ShopTitle_b01#0,"""Bustew Medaw Exchange Shop"""
ShopTitle_k#0,"""Pywoxene Exchange Shop"""
ShopTitle_jig#0,"""Matewiaw Exchange Shop"""
ShopChallengeWeaponTitle#0,"""Exchange Weapons"""
ShopChallengeUnitTitle#0,"""Exchange Units"""
ShopChallengePATECTitle#0,"""Exchange PAs/Techs"""
ShopChallengeSkillTitle#0,"""Exchange Skiww Discs"""
ShopChallengeConsumeTitle#0,"""Exchange Consumabwe Items"""
ShopChallengeATitle#0,"""Exchange Wed Stones"""
ShopChallengeBTitle#0,"""Exchange Bwue Stones"""
ShopChallengeCTitle#0,"""Exchange Gween Stones"""
ShopChallengeDTitle#0,"""Exchange Yewwow Stones"""
ShopChallengePATECTitle01#0,"""Exchange Disks"""
MenuGuide#4,"""<c f0df60>You can obtain a variety of goods by trading in specific items. By trading in more than the required number, you can obtain multiple items in return.<c>"""
MenuGuideItemSelect#0,"""<c f0df60>Please select the required quantity of items you want to trade in. Press <c><%MultiSelect><c f0df60> to select multiple items.<c>"""
NotingSetItem#0,"""You haven't set a tawget item."""
SuccessMessage#1,"""Compweted."""
LimitExchange#0,"""You exceed the numbew of items."""
FailedMessage#1,"""Faiwed."""
FailedMessage2#1,"""Exchange failed. Would exceed<br>item stack limit, or your inventory<br>is full."""
FailedMessage3#1,"""<yellow> Premium is required to trade for this item."""
NotingTradeItem#0,"""Insufficient items."""
NoExchangeMessage#0,"""交換候補アイテムの強化値を<br>+35にしてから交換してください。"""
ExchangeTitle#0,"""交換候補アイテム確認"""
ChangeTitle#0,"""Confiwmation"""
ChangeCheck#1,"""<c f0df60>$(0)<c> ×$(1)<br>will be exchanged for the selected items.<br>Continue?<br><yellow>※Only the following items will be consumed.<c>"""
TargetItem#0,"""Tawget: $(0) × $(1)"""
TargetItem2#0,"""$(0) × $(1)"""
TargetItem3#0,"""$(0) <red>× $(1)<c>"""
TargetItem4#0,"""$(0)＋$(1)"""
CancelTitle#2,"""Cancewwed Twade"""
CancelMessage#2,"""This will cancel the exchange.<br>Continue?"""
InventoryList#0,"""Inventowy Wist"""
TargetItemInfo#0,"""Sewected Item"""
SwapList#0,"""Wist of items to twade"""
SwapNum#0,"""Amount to twade"""
NeedItem#0,"""Items you want"""
ChangeCheckVita#1,"""<c f0df60>$(0)<c> ×$(1)<br>will be exchanged for the selected items.<br>Continue?<br><yellow>※Only the following items will be consumed.<c>"""
SelectItemVita#1,"""交換個数選択"""
SelectItemInputVita#1,"""Pwease entew an amount."""
ItemErrorVita#0,"""交換アイテムエラー"""
ItemErrorMessageVita#0,"""すでに必要数のアイテムが選択されています。"""
PluralityMenuGuide#1,"""<c f0df60>Please select a shop.<c>"""
Warehouse#1,"""Open Stowage"""
PopupExchange#0,"""Exchange"""
PopupSpecialFactor#0,"""Confiwm Speciaw Abiwity Factow"""
PopupPotential#0,"""Confiwm Potentiaw Abiwity"""
MenuTitleJig1#0,"""Embwem and Matewiaw Exchange"""
MenuTitleJig2#0,"""Matewiaw Wetuwn"""
MenuTitleJig3#0,"""Cwystaw Fwagment Exchange"""
MenuTitleJig4#0,"""Genesis Weapon Camo Exchange"""
MenuTitleJig5#0,"""Owbit Weapon Exchange"""
MenuTitleJig6#0,"""Way Sewies Upgwades"""
MenuTitleJig7#0,"""Avataw Weapon Camo Exchange"""
MenuTitleJig8#0,"""Zeinesis Sewies Upgwades"""
MenuTitleJig9#0,"""Eawth Sewies Upgwades"""
MenuTitleJig10#0,"""Qwiphad Sewies Upgwades"""
MenuTitleJig11#0,"""Evweda Sewies Upgwades"""
MenuTitleJig12#0,"""Cweasis Sewies Upgwades"""
MenuTitleJig001#0,"""Cleasis Series Upgrades<pict Fresh>"""
MenuTitleJig002#0,"""Evweda Sewies Upgwades"""
MenuTitleJig003#0,"""Eawth Sewies Upgwades"""
MenuTitleJig004#0,"""Qwiphad Sewies Upgwades"""
MenuTitleJig005#0,"""Zeinesis Sewies Upgwades"""
MenuTitleJig006#0,"""Way Sewies Upgwades"""
MenuTitleJig007#0,"""Basic Item Exchange"""
MenuTitleJig008#0,"""Weapon Camo Exchange"""
MenuTitleJig009#0,"""Genesis Weapon Camo Exchange"""
MenuTitleJig010#0,"""Avataw Weapon Camo Exchange"""
MenuTitleJig011#0,"""Invade Sewies Exchange"""
MenuTitleJig012#0,"""Austewe Sewies Exchange"""
MenuTitleJig013#0,"""Owbit Sewies Exchange"""
MenuTitleJig014#0,"""Fahwen Exchange and Matewiaw Wetuwn"""
MenuTitleJig015#0,"""Bwoken Sewies Upgwades"""
MenuTitleJig016#0,"""Val Series Upgrades<pict Fresh>"""
MenuTitleJig017#0,"""Atra Series Category Change<pict Fresh>"""
MenuTitleJig018#0,"""Nemesis Sewies Upgwades"""
MenuTitleJig019#0,"""Swave Sewies Upgwades"""
MenuTitleJig020#0,"""★14 Conqueror's Crest Exchange<pict Fresh>"""
ChangeItemSettingNumTitle#0,"""Exchange Quantity Settings"""
ChangeItemSettingNumMessage#0,"""Pwease set the numbew of items you want to exchange aww at once."""
ChangeItemSettingNumErrorTitle#0,"""Quantity Ewwow"""
ChangeItemSettingNumErrorMessage#0,"""Quantity wimit exceeded; cannot exchange."""
HandoverGammaMessage#0,"""<c f0df60>$(0)<c> x$(1)<br>will be exchanged for the selected item.<br><br><c ff9c70>Weapon will carry over the following:<c><br><yellow>Grind, Element, Special Abilities, Craft Level,<br>Photon Color, and Owner Registration.<c><br><br>Is that OK?<br><yellow>※Items that aren't specified won't be<br>consumed.<c>"""
HandoverAddonMessage#0,"""<c f0df60>$(0)<c> x$(1)<br>will be exchanged for the selected item.<br><br><c ff9c70>Unit will carry over the following:<c><br><yellow>Grind, Special Abilities, Timed Abilities,<br>Photon Color, and Owner Registration.<c><br><br>Is that OK?<br><yellow>※Items that aren't specified won't be<br>consumed.<c><br>"""
MenuGuide_Limit#0,"""<c f0df60>Select an item to exchange for. (Exchange quantities are limited per week and reset each Wednesday at 13:00 JST.)<c>"""
NoPotentialErrorMessage#0,"""表示できる特殊能力がありません。"""
ShopTitle#2,"""Shop"""
ShopTitle_f#0,"""Cuwinawy Shop"""
ShopTitle_r#0,"""Skiww Wing Shop"""
Title#0,"""Goods Wist"""
MenuGuide#5,"""<c f0df60>商品を選択してください。対価として、メセタと「対象アイテム」が必要です。<c>"""
NotingSetItem#1,"""You haven't set a tawget item."""
SuccessMessage#2,"""Item obtained."""
FailedMessage#2,"""Failed to obtain item.<br>Please try again later."""
FailedMessage2#2,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>入手できません。"""
FailedMessage3#2,"""この商品の入手には<br><yellow>「プレミアムセット」<c>が必要です。"""
NotingTradeItem#1,"""You do not have<br>the required items or Meseta."""
NotingTradeItem2#0,"""Insufficient items."""
NotingTradeItem3#0,"""Insufficient Meseta."""
ChangeTitle#1,"""Item Acquisition"""
ChangeResultTitle#0,"""Item Acquisition"""
ChangeErrorTitle#0,"""Item Acquisition Ewwow"""
ChangeCheck#2,"""<yellow>Pay using Meseta to buy<br>the following items:<br><br>$(0)<c>×$(1)<br><br>Is that alright?<br><br><yellow>Required Meseta：$(2)(Owned：$(3))<c>"""
PluralityMenuGuide#2,"""<c f0df60>Please select a shop.<c>"""
Warehouse#2,"""Open Stowage"""
ChangeItemSettingNumTitle#1,"""Quantity Sewection"""
ChangeItemSettingNumMessage#1,"""Sewect how many of the item you want."""
ChangeItemSettingNumErrorTitle#1,"""Quantity Ewwow"""
ChangeItemSettingNumErrorMessage#1,"""Cannot obtain; stowage wimit weached."""
FormTitleRingL#0,"""W Wing Shop"""
FormTitleRingR#0,"""W Wing Shop"""
FormTitleFood#0,"""Cuwinawy Shop"""
ShopTitle#3,"""AC Shop"""
MenuGuide#6,"""<c f0df60>Purchase and consume AC-only items. You can also charge AC.<c>"""
ItempackGuide#0,"""<c f0df60>Select an item to purchase. Purchased items will be placed in inventory.<c>"""
WarehouseGuide#0,"""<c f0df60>Select an item to purchase. Purchased items will be placed in your storage.<c>"""
HistoryGuide#0,"""<c f0df60>View AC purchase history.<c>"""
MenuItemPack#0,"""Buy (Inventowy)"""
MenuWarehouse#0,"""Buy (Stowage)"""
MenuHistory#0,"""Puwchase Histowy"""
MenuCharge#0,"""Chawge AC"""
MenuAboutAC#0,"""About AC"""
AboutACMessage#0,"""スマートフォンからのACチャージはこちら！<br>（スマートフォンのみ対応しています）"""
HaveAC#0,"""Cuwwent AC"""
TotalAC#0,"""Wequiwed AC"""
BuyTitle#1,"""Puwchase Confiwmation"""
BuyCheck#2,"""This will purchase the following for $(2)$(0).<br>Are you sure?<br><br>(Current AC: $(1))"""
PackItemTitle#0,"""Inventowy Expansion"""
PackItemListText#0,"""$(0)\u3000(Cuwwentwy owned: $(1))"""
PackItemListText2#0,"""$(0)×$(2)\u3000(Cuwwentwy owned: $(1))"""
MessageNotAc#0,"""Insufficient AC."""
MessageCancel#0,"""Cancewwed."""
MessageBusy#0,"""Communicating..."""
MessageOk#0,"""Item puwchased."""
Direct_MessageOk#0,"""Item puwchased and used."""
MessageNoSpace#0,"""Insufficient inventowy space."""
MessageError#0,"""Error has occurred.<br>Could not purchase.<br><br>Error code [2102]"""
MessageNotItem#0,"""Items not found.<br><br>Error code [2103]"""
MessageLimitOver#0,"""Quantity limit exceeded.<br><br>[No.2104]"""
MessageSoldOut#0,"""Sell-by date has passed.<br><br>[No.2105]"""
MessageLimitOverError#0,"""Limit exceeded.<br>Cannot purchase."""
MessageSoldOutError#0,"""Sale period has passed.<br>Cannot purchase."""
HaveTicket#1,"""<pict Arcscash><c ff4f3f>Additional purchases<c><br>In addition to the items you <c 5fdf00>already purchased<c>,<br>the following will be added for $(2)$(0).<br>Is that okay?<br><br>( Current AC:$(1) )"""
AcCharge#0,"""Insufficient AC.<br>Do you want to charge more AC?"""
AcCharge_v#0,"""ACが不足しています。<br>ACをチャージしますか？<br><br><yellow>※ブラウザーを起動し、Webページへ移動します。<br>ゲームは終了してログアウトされます。<c>"""
ACChargeURL#0,"""<&URL AC_CHARGE_PAGE>"""
TokuteiURL#0,"""<&URL pso2_players_support_rule_tokutei>"""
TokuteiURL_v#0,"""<&URL pso2_players_support_rule_tokutei_vita>"""
HistoryTitle#0,"""Puwchase Histowy"""
HistoryEmpty#0,"""Youw puwchase histowy is empty."""
HistoryTime#0,"""Puwchased on"""
CancelTitle#3,"""Puwchase Cancew Confiwmation"""
CancelMessage#3,"""This wiww cancew the puwchase. Continue?"""
Welcome1#0,"""Wewcome, thanks fow coming!"""
Welcome2#0,"""We have many goods you can't get anywhewe ewse!"""
Welcome3#0,"""Pwease be suwe to check ouw watest awwivaws too!"""
Welcome4#0,"""We can wecommend, uh... Evewything!"""
BuyMessage#0,"""Th-thank you vewy much! We'we twuwy gwatefuw!"""
PaperDoll#1,"""Pweview"""
TabName0#0,"""1. Aww Items"""
TabName1#0,"""2. Wecommended"""
TabName2#0,"""3. Scwatch"""
TabName3#0,"""4. Expansion Items"""
TabName4#0,"""5. Consumabwes"""
TabName5#0,"""6. Not set yet"""
TabName6#0,"""7. Not set yet"""
TabName7#0,"""8. Not set yet"""
TabName8#0,"""9. Not set yet"""
Date#0,"""Date"""
NewHistory#0,"""Wecent Puwchases"""
HistoryDBError#0,"""Faiwed to wetwieve histowy. Pwease twy again watew."""
MultiCheckMessage#0,"""キャラクター単位の<yellow>使用回数上限<c>がある商品です。<br>\u3000■「アイテムパック拡張10」<br>\u3000このアイテムを1回使うと、10拡張されます。<br>\u3000<yellow>最大10回使って、100拡張できます。<c><br><br>\u3000■「キャラ倉庫拡張50」<br>\u3000このアイテムを1回使うと、50拡張されます。<br>\u3000<yellow>最大14回使って、700拡張できます。<c><br><br>\u3000■「サブパレット拡張チケット」<br>\u3000<yellow>これ1つで、最大まで拡張できます。<c><br><br>\u3000■「マグ獲得チケット」<br>\u3000マグをすでに1体以上所有している時に<br>\u3000このアイテムを1回使うと、1体追加されます。<br>\u3000<yellow>最大19回使って、19体追加できます。<c><br><br><c ff4f3f>※ご購入前に、現在のご利用状態をご確認ください。<c><br>購入確認画面に進みますか？"""
MultiCheckMessage_v#0,"""キャラクター単位の<yellow>使用回数上限<c>がある商品です。<br>\u3000■「アイテムパック拡張10」<br>\u3000このアイテムを1回使うと、10拡張されます。<br>\u3000<yellow>最大10回使って、100拡張できます。<c><br><br>\u3000■「キャラ倉庫拡張50」<br>\u3000このアイテムを1回使うと、50拡張されます。<br>\u3000<yellow>最大14回使って、700拡張できます。<c><br><br>\u3000■「サブパレット拡張チケット」<br>\u3000<yellow>これ1つで、最大まで拡張できます。<c><br><br>\u3000■「マグ獲得チケット」<br>\u3000マグを所有してこのアイテムを1回使うと、1体追加されます。<br>\u3000<yellow>最大19回使って、19体追加できます。<c><br><br><c ff4f3f>※ご購入前に、現在のご利用状態をご確認ください。<c><br>購入確認画面に進みますか？"""
HistoryItem#0,"""Item Name"""
HistoryMoney#0,"""Cost"""
TimesaleTitle#1,"""Wimited Time Sawe!"""
TimesaleBuyCheck#0,"""以下のアイテムを<s>$(3)</s> <red>$(2)<c>$(0)で購入します。<br>よろしいですか？<br><br>（所持AC：$(1)）"""
TimesalePrice#0,"""<red>$(0)<c>"""
TimesaleErrorTitle#0,"""ラインナップが変更されました"""
TimesaleErrorMessage#0,"""<red>商品の価格が変更されました。<c><br><br>画面を更新します。"""
TimesaleHaveTicket#0,"""<pict Arcscash><c ff4f3f>購入済アイテムの追加購入<c><br><c 5fdf00>すでに購入済み<c>の以下のアイテムを、<br><s>$(3)</s> <red>$(2)<c>$(0)で追加購入します。<br>よろしいですか？<br><br>（所持AC：$(1)）"""
LimitedItem#0,"""<yellow>Limited<c>"""
LimitedItemTitle1#0,"""<yellow>Limited-Time Items<c>"""
LimitedItemTitle2#0,"""<yellow>Limited Quantity Items<c>"""
LimitedItemTitle1a#0,"""<yellow>Exchange Period<c>"""
LimitedItemTitle2a#0,"""<yellow>Exchangeable<c>"""
LimitedItemTitle1_VITA#0,"""<yellow>Limited Time<c>"""
LimitedItemTitle2_VITA#0,"""<yellow>Limited Quantity<c>"""
LimitedItemTitle1a_VITA#0,"""<yellow>Exchange Period<c>"""
LimitedItemTitle2a_VITA#0,"""<yellow>Exchangeable<c>"""
LimitedItemText1#0,"""Can Puwchase up to $(0)."""
LimitedItemText2#0,""" $(0) weft"""
LimitedItemText1Reset#0,"""Can puwchase up to $(0) pew day."""
LimitedItemText1a#0,"""Can Exchange up to $(0)"""
LimitedItemTitle3#0,"""Pwoduct Infowmation"""
PrizeExchangeNoInfo#0,"""Wimit wesets Wednesday 13:00JST"""
PrizeExchangeNoInfoVITA#0,"""Wimit wesets Wednesday 13:00JST"""
LimitedTime#0,"""Untiw $(0)"""
Limited_ACReset#0,"""(毎日0時リセット)"""
Limited_CasinoReset#0,"""(Weset: Wed, 13:00 JST)"""
LimitedItemTitle1b#0,"""<yellow>Exchange Period<c>"""
LimitedItemTitle2b#0,"""<yellow>Exchangeable<c>"""
LimitedItemTitle1b_VITA#0,"""<yellow>Exchange Period<c>"""
LimitedItemTitle2b_VITA#0,"""<yellow>Exchangeable<c>"""
LimitedItemText1b#0,"""Can Puwchase up to $(0)."""
LimitedItemText1bReset#0,"""Can puwchase up to $(0) pew day."""
Limited_BasnetReset#0,"""(Wesets Wednesday 13:00 JST)"""
LimitedItemText1b_LimitNone#0,"""Thewe is no westwiction."""
BuyCheck#3,"""These items will cost $(2) $(0).<br>Continue with purchase?<br><br>(SG Owned: $(1))"""
HaveTicket#2,"""<pict StarGem><c ff4f3f>購入済アイテムの追加購入<c><br><c 5fdf00>すでに購入済み<c>の以下のアイテムを、<br>$(2)$(0)で追加購入します。<br>よろしいですか？<br><br>（所持SG：$(1)）"""
TimesaleBuyCheck#1,"""以下のアイテムを<s>$(3)</s> <red>$(2)<c>$(0)で購入します。<br>よろしいですか？<br><br>（所持SG：$(1)）"""
TimesaleHaveTicket#1,"""<pict StarGem><c ff4f3f>購入済アイテムの追加購入<c><br><c 5fdf00>すでに購入済み<c>の以下のアイテムを、<br><s>$(3)</s> <red>$(2)<c>$(0)で追加購入します。<br>よろしいですか？<br><br>（所持SG：$(1)）"""
LimitedTime#1,"""$(0) untiw"""
BuySG#0,"""Buy Star Gems<pict Arcscash>"""
MenuAboutSG#0,"""About Staw Gems"""
AboutSGMessage#0,"""SGの購入は[スタージェム購入]から！"""
HaveSG#0,"""Owned SG:"""
TotalSG#0,"""Totaw SG:"""
ShopTitle#4,"""SG Shop"""
MenuGuide#7,"""<c f0df60>SGを消費して、SGショップ専用アイテムを購入できます。SGの購入も可能です。<c>"""
ItempackGuide#1,"""<c f0df60>SGで購入するアイテムを選択してください。購入したアイテムは、アイテムパックに入ります。<c>"""
WarehouseGuide#1,"""<c f0df60>SGで購入するアイテムを選択してください。購入したアイテムは、倉庫に入ります。<c>"""
HistoryGuide#1,"""<c f0df60>SGで購入した商品を確認できます。<c>"""
MenuItemPack#1,"""Puwchase fwom Item Pack"""
MenuWarehouse#1,"""Puwchase fwom Stowage"""
BuyTitle#2,"""Confiwm Puwchase"""
PackItemTitle#1,"""Pack Detaiws"""
PackItemListText#1,"""$(0) (Have: x$(1))"""
PackItemListText2#1,"""$(0)×$(2) (Owned: x$(1))"""
CancelTitle#4,"""Cancewwation Confiwmation"""
CancelMessage#4,"""This will cancel the purchase.<br>Is that alright?"""
MultiCheckMessage#1,"""キャラクター単位の<yellow>使用回数上限<c>がある商品です。<br>\u3000■国国国国国国国国国国国国国国国国国<br><br><c ff4f3f>※ご購入前に、現在のご利用状態をご確認ください。<c><br>購入確認画面に進みますか？"""
MultiCheckMessage_v#1,"""キャラクター単位の<yellow>使用回数上限<c>がある商品です。<br>\u3000■国国国国国国国国国国国国国国国国国<br><br><c ff4f3f>※ご購入前に、現在のご利用状態をご確認ください。<c><br>購入確認画面に進みますか？"""
TabName0#1,"""1. Aww Items"""
TabName1#1,"""2. Featuwed"""
TabName2#1,"""3. Scwatch"""
TabName3#1,"""4. Extension Items"""
TabName4#1,"""5. Consumabwes"""
TabName5#1,"""6.未定"""
TabName6#1,"""7.未定"""
TabName7#1,"""8.未定"""
TabName8#1,"""9.未定"""
NoItemMessage#0,"""No Items"""
NoWeaponMessage#0,"""No Weapons"""
NoAddonMessage#0,"""No Units"""
NoGadgetMessage#0,"""No Skiww Wings"""
NoAddonRingMessage#0,"""No Units ow Skiww Wings"""
NoCostumeMessage#0,"""No Costumes"""
NoStackMessage#0,"""No Stackabwe Items"""
NoDiskMessage#0,"""No Disks"""
NoGoodsMessage#0,"""No Woom Goods"""
NoQuestitemMessage#0,"""No Owdew Items"""
NoOtherMessage#0,"""No Items"""
NoWeaponAvatar#0,"""No Weapon Camo"""
NoPetEgg#0,"""You have no eggs."""
NoOuterItemMsg#0,"""No Outewweaw"""
NoItemMessageDish#0,"""No Items"""
NoWeaponMessageDish#0,"""Cannot deposit Weapons"""
NoAddonRingMessageDish#0,"""Cannot deposit Units / Skiww Wing"""
NoCostumeMessageDish#0,"""Cannot deposit<br>Costumes / Parts / Weapon Camos"""
NoStackMessageDish#0,"""Cannot deposit Consumabwes"""
NoDiskMessageDish#0,"""Cannot deposit Disks"""
NoGoodsMessageDish#0,"""Cannot deposit Woom Goods"""
NoQuestitemMessageDish#0,"""No Owdew Items / Matewiaws"""
NoOtherMessageDish#0,"""Cannot deposit Othew Items"""
Empty_NoData_Favorite#0,"""Press $(0) to access<br>$(1).<br>This storage has been<br>set as your \""Favorite Storage\""."""
Empty_NoData_FavoriteSettable#0,"""Press $(0) to access<br>$(2).<br>Press $(1) to set it as<br>your \""Favorite Storage\""."""
Empty_NoData#0,"""Press $(0) to access<br>$(1)."""
Empty_Unreadable_Favorite#0,"""$(1)<br>cannot be loaded at this time.<br>This storage has been<br>set as your \""Favorite Storage\""."""
Empty_Unreadable_FavoriteSettable#0,"""$(1)<br>cannot be loaded at this time.<br>Press $(0) to set it as<br>your \""Favorite Storage\""."""
Empty_Unreadable#0,"""$(0)<br>cannot be loaded at this time."""
