0#0,"""Powew I"""
80#0,"""Awtew Awma"""
81#0,"""Awtew Tiwo"""
82#0,"""Awtew Magia"""
83#0,"""Fwict Awma"""
84#0,"""Fwict Tiwo"""
85#0,"""Fwict Magia"""
86#0,"""Pewsona Souw"""
87#0,"""Cougaw Souw"""
88#0,"""Owg Souw"""
89#0,"""Baw Souw"""
90#0,"""Winga Souw"""
91#0,"""Soma Souw"""
92#0,"""Tagami Kazuchi Souw"""
93#0,"""Mawwuda Souw"""
94#0,"""Meduna Souw"""
95#0,"""Vibwace Souw"""
96#0,"""Wosew Souw"""
97#0,"""Wiwwi Souw"""
98#0,"""Watan Fevew"""
99#0,"""St. Fevew"""
100#0,"""Wuv Fevew"""
101#0,"""Wuvy Fevew"""
102#0,"""Egg Fevew"""
103#0,"""Fwog Fevew"""
104#0,"""Summew Fevew"""
105#0,"""Wetuwnew I"""
106#0,"""Wetuwnew II"""
107#0,"""Wetuwnew III"""
108#0,"""Wetuwnew IV"""
109#0,"""Wetuwnew V"""
110#0,"""Dwagon Fevew"""
111#0,"""Ewephant Fevew"""
112#0,"""Souw Weceptow"""
113#0,"""Mawk Joyo"""
114#0,"""Mawk Couwagena"""
115#0,"""Mawk Angaw"""
116#0,"""Mawk Gwif"""
117#0,"""Knight Geaw Souw"""
118#0,"""Gunne Souw"""
119#0,"""Idetta Souw"""
120#0,"""Jhadu Souw"""
121#0,"""ENT_02ソール"""
122#0,"""Zigmow Souw"""
123#0,"""Madu Souw"""
124#0,"""Nepto Souw"""
125#0,"""Nyau Souw"""
126#0,"""Gift Weceptow"""
127#0,"""Cewemo Fevew"""
128#0,"""Noiya Fevew"""
129#0,"""Wuna Fevew"""
130#0,"""Towo Kuwo Fevew"""
131#0,"""Sakuwa Fevew"""
132#0,"""Sonic Fevew"""
133#0,"""Sansan Fevew"""
134#0,"""AWKS Fevew"""
135#0,"""ENT_フィーバー08"""
136#0,"""Anga Souw"""
137#0,"""Deadweon Souw"""
138#0,"""Weopawd Souw"""
139#0,"""Diabo Souw"""
140#0,"""Weone Souw"""
141#0,"""Siowg Souw"""
142#0,"""Duvaws Souw"""
143#0,"""Bayawi Souw"""
144#0,"""Gweuzowas Souw"""
145#0,"""Guwanz Souw"""
146#0,"""Magatsu Souw"""
147#0,"""Nobwe Powew"""
148#0,"""Nobwe Shot"""
149#0,"""Nobwe Technique"""
150#0,"""Nobwe Stamina"""
151#0,"""-"""
152#0,"""-"""
153#0,"""-"""
154#0,"""-"""
155#0,"""-"""
156#0,"""-"""
157#0,"""-"""
158#0,"""-"""
159#0,"""-"""
160#0,"""-"""
161#0,"""-"""
162#0,"""-"""
163#0,"""-"""
164#0,"""-"""
165#0,"""-"""
166#0,"""Appwentice Souw"""
167#0,"""Gwyphon Souw"""
168#0,"""Sinow Souw"""
169#0,"""Spiwita Awpha"""
170#0,"""-"""
171#0,"""-"""
172#0,"""-"""
173#0,"""-"""
174#0,"""-"""
175#0,"""Doubwe Souw"""
176#0,"""Dawkness Souw"""
177#0,"""Astwaw Souw"""
178#0,"""Souw Catawyst"""
179#0,"""S-ATK Boost"""
180#0,"""W-ATK Boost"""
181#0,"""T-ATK Boost"""
182#0,"""DEX Up"""
183#0,"""HP Up"""
184#0,"""PP Up"""
185#0,"""S-ATK+HP Up"""
186#0,"""W-ATK+HP Up"""
187#0,"""T-ATK+HP Up"""
188#0,"""DEX+HP Up"""
189#0,"""S-ATK+PP Up"""
190#0,"""W-ATK+PP Up"""
191#0,"""T-ATK+PP Up"""
192#0,"""DEX+PP Up"""
193#0,"""HP+PP Up"""
194#0,"""PP+HP Up"""
195#0,"""S-ATK+W-ATK  Up"""
196#0,"""S-ATK+T-ATK Up"""
197#0,"""S-ATK+DEX Up"""
198#0,"""W-ATK+T-ATK Up"""
199#0,"""W-ATK+DEX Up"""
200#0,"""T-ATK+DEX Up"""
201#0,"""Toh'oh Souw"""
202#0,"""Act The Souw"""
203#0,"""Tiww The Souw"""
204#0,"""Magi The Souw"""
205#0,"""Mutation II"""
206#0,"""Pet Stamina I"""
207#0,"""Pet Stamina II"""
208#0,"""Pet Stamina III"""
209#0,"""Pet Body I"""
210#0,"""Pet Body II"""
211#0,"""Pet Body III"""
212#0,"""Pet Weact I"""
213#0,"""Pet Weact II"""
214#0,"""Pet Weact III"""
215#0,"""Pet Mind I"""
216#0,"""Pet Mind II"""
217#0,"""Pet Mind III"""
218#0,"""Yamato Factow"""
219#0,"""Offensive Boost"""
220#0,"""Defensive Boost"""
221#0,"""Attack Weceptow"""
222#0,"""Guawd Weceptow"""
223#0,"""Photon Weceptow"""
224#0,"""Doom Bweak"""
225#0,"""Tenowa Boost"""
226#0,"""GWM Boost"""
227#0,"""Yohmei Boost"""
228#0,"""Fuww Vegas Souw"""
229#0,"""Extweceptow"""
230#0,"""Ewegant Powew"""
231#0,"""Ewegant Shoot"""
232#0,"""Ewegant Technique"""
233#0,"""Ewegant Stamina"""
234#0,"""Necky Smiwe"""
235#0,"""SWT-ATK PP Up"""
236#0,"""Izane Kazuchi Souw"""
237#0,"""Mothew Factow"""
238#0,"""Escawde Souw"""
239#0,"""Sentence Powew"""
240#0,"""Sentence Shoot"""
241#0,"""Sentence Technique"""
242#0,"""Battwe Swowd I"""
243#0,"""Battwe Swowd II"""
244#0,"""Battwe Swowd III"""
245#0,"""Battwe Wifwe I"""
246#0,"""Battwe Wifwe II"""
247#0,"""Battwe Wifwe III"""
248#0,"""Battwe Wod I"""
249#0,"""Battwe Wod II"""
250#0,"""Battwe Wod III"""
251#0,"""Battwe Pawtizan I"""
252#0,"""Battwe Pawtizan II"""
253#0,"""Battwe Pawtizan III"""
254#0,"""Battwe Twin Machineguns I"""
255#0,"""Battwe Twin Machineguns II"""
256#0,"""Battwe Twin Machineguns III"""
257#0,"""Battwe Bow I"""
258#0,"""Battwe Bow II"""
259#0,"""Battwe Bow III"""
260#0,"""poka19"""
261#0,"""poka20"""
262#0,"""Phwase Weceptow"""
263#0,"""Sentence Weceptow"""
264#0,"""Sentence Twipwe"""
265#0,"""Deus Factow"""
266#0,"""Factow Catawyst"""
267#0,"""Ethew Souw"""
268#0,"""Ethew Factow"""
269#0,"""Powew VI"""
270#0,"""Shoot VI"""
271#0,"""Technique VI"""
272#0,"""Omega Wevewie"""
273#0,"""Fabuwa Souw"""
274#0,"""Awes The Souw"""
275#0,"""Spiwita VI"""
276#0,"""Sentence Awma"""
277#0,"""Sentence Tiwo"""
278#0,"""Sentence Magia"""
279#0,"""AWKS Max"""
280#0,"""Ewdew Wevewie"""
281#0,"""Factow Weceptow"""
282#0,"""Battwe Twin Daggews I"""
283#0,"""Battwe Twin Daggews II"""
284#0,"""Battwe Twin Daggews III"""
285#0,"""Battwe Duaw Bwades I"""
286#0,"""Battwe Duaw Bwades II"""
287#0,"""Battwe Duaw Bwades III"""
288#0,"""Battwe Tawis I"""
289#0,"""Battwe Tawis II"""
290#0,"""Battwe Tawis III"""
291#0,"""Histowia Souw"""
292#0,"""Gwace Powew"""
293#0,"""Gwace Shoot"""
294#0,"""Gwace Technique"""
295#0,"""Gwace Stamina"""
296#0,"""-"""
0#1,"""Buwn I"""
1#1,"""Buwn II"""
2#1,"""Buwn III"""
3#1,"""Buwn IV"""
4#1,"""Buwn V"""
5#1,"""Fweeze I"""
6#1,"""Fweeze II"""
7#1,"""Fweeze III"""
8#1,"""Fweeze IV"""
9#1,"""Fweeze V"""
10#1,"""Shock I"""
11#1,"""Shock II"""
12#1,"""Shock III"""
13#1,"""Shock IV"""
14#1,"""Shock V"""
15#1,"""Miwage I"""
16#1,"""Miwage II"""
17#1,"""Miwage III"""
18#1,"""Miwage IV"""
19#1,"""Miwage V"""
20#1,"""Poison I"""
21#1,"""Poison II"""
22#1,"""Poison III"""
23#1,"""Poison IV"""
24#1,"""Poison V"""
25#1,"""Panic I"""
26#1,"""Panic II"""
27#1,"""Panic III"""
28#1,"""Panic IV"""
29#1,"""Panic V"""
30#1,"""ENT_ABNダミー30"""
31#1,"""ENT_ABNダミー31"""
32#1,"""ENT_ABNダミー32"""
33#1,"""ENT_ABNダミー33"""
34#1,"""ENT_ABNダミー34"""
35#1,"""ENT_ABNダミー35"""
36#1,"""ENT_ABNダミー36"""
37#1,"""ENT_ABNダミー37"""
38#1,"""ENT_ABNダミー38"""
39#1,"""ENT_ABNダミー39"""
40#1,"""ENT_ABNダミー40"""
41#1,"""ENT_ABNダミー41"""
42#1,"""ENT_ABNダミー42"""
43#1,"""ENT_ABNダミー43"""
44#1,"""ENT_ABNダミー44"""
45#1,"""ENT_ABNダミー45"""
46#1,"""ENT_ABNダミー46"""
47#1,"""ENT_ABNダミー47"""
48#1,"""ENT_ABNダミー48"""
49#1,"""ENT_ABNダミー49"""
50#1,"""ENT_ABNダミー50"""
51#1,"""ENT_ABNダミー51"""
52#1,"""ENT_ABNダミー52"""
53#1,"""ENT_ABNダミー53"""
54#1,"""ENT_ABNダミー54"""
0#2,"""Bwow Wesist I"""
1#2,"""Bwow Wesist II"""
2#2,"""Bwow Wesist III"""
3#2,"""Bwow Wesist IV"""
4#2,"""Bwow Wesist V"""
5#2,"""Shot Wesist I"""
6#2,"""Shot Wesist II"""
7#2,"""Shot Wesist III"""
8#2,"""Shot Wesist IV"""
9#2,"""Shot Wesist V"""
10#2,"""Mind Wesist I"""
11#2,"""Mind Wesist II"""
12#2,"""Mind Wesist III"""
13#2,"""Mind Wesist IV"""
14#2,"""Mind Wesist V"""
15#2,"""Fwame Wesist I"""
16#2,"""Fwame Wesist II"""
17#2,"""Fwame Wesist III"""
18#2,"""Fwame Wesist IV"""
19#2,"""Fwame Wesist V"""
20#2,"""Ice Wesist I"""
21#2,"""Ice Wesist II"""
22#2,"""Ice Wesist III"""
23#2,"""Ice Wesist IV"""
24#2,"""Ice Wesist V"""
25#2,"""Shock Wesist I"""
26#2,"""Shock Wesist II"""
27#2,"""Shock Wesist III"""
28#2,"""Shock Wesist IV"""
29#2,"""Shock Wesist V"""
30#2,"""Wind Wesist I"""
31#2,"""Wind Wesist II"""
32#2,"""Wind Wesist III"""
33#2,"""Wind Wesist IV"""
34#2,"""Wind Wesist V"""
35#2,"""Wight Wesist I"""
36#2,"""Wight Wesist II"""
37#2,"""Wight Wesist III"""
38#2,"""Wight Wesist IV"""
39#2,"""Wight Wesist V"""
40#2,"""Gwoom Wesist I"""
41#2,"""Gwoom Wesist II"""
42#2,"""Gwoom Wesist III"""
43#2,"""Gwoom Wesist IV"""
44#2,"""Gwoom Wesist V"""
45#2,"""Aww Wesist I"""
46#2,"""Aww Wesist II"""
47#2,"""Aww Wesist III"""
48#2,"""Aww Wesist IV"""
49#2,"""Aww Wesist V"""
50#2,"""-"""
51#2,"""-"""
52#2,"""-"""
53#2,"""-"""
54#2,"""-"""
55#1,"""-"""
56#1,"""-"""
57#1,"""-"""
58#1,"""-"""
59#1,"""-"""
60#1,"""-"""
61#1,"""-"""
62#1,"""-"""
63#1,"""-"""
64#1,"""-"""
65#1,"""-"""
66#1,"""-"""
67#1,"""-"""
68#1,"""-"""
69#1,"""-"""
0#3,"""ENT_SPダミー0"""
1#3,"""ENT_SPダミー1"""
2#3,"""ENT_SPダミー2"""
3#3,"""ENT_SPダミー3"""
4#3,"""ENT_SPダミー4"""
5#3,"""ENT_SPダミー5"""
6#3,"""ENT_SPダミー6"""
7#3,"""ENT_SPダミー7"""
8#3,"""ENT_SPダミー8"""
9#3,"""ENT_SPダミー9"""
10#3,"""ENT_SPダミー10"""
11#3,"""ENT_SPダミー11"""
12#3,"""ENT_SPダミー12"""
13#3,"""ENT_SPダミー13"""
14#3,"""ENT_SPダミー14"""
15#3,"""ENT_SPダミー15"""
16#3,"""ENT_SPダミー16"""
17#3,"""ENT_SPダミー17"""
18#3,"""ENT_SPダミー18"""
19#3,"""ENT_SPダミー19"""
20#3,"""ENT_SPダミー20"""
21#3,"""ENT_SPダミー21"""
22#3,"""ENT_SPダミー22"""
23#3,"""ENT_SPダミー23"""
24#3,"""ENT_SPダミー24"""
25#3,"""ENT_SPダミー25"""
26#3,"""ENT_SPダミー26"""
27#3,"""ENT_SPダミー27"""
28#3,"""ENT_SPダミー28"""
29#3,"""ENT_SPダミー29"""
30#3,"""ENT_SPダミー30"""
31#3,"""ENT_SPダミー31"""
32#3,"""ENT_SPダミー32"""
33#3,"""ENT_SPダミー33"""
34#3,"""ENT_SPダミー34"""
35#3,"""ENT_SPダミー35"""
36#3,"""ENT_SPダミー36"""
37#3,"""ENT_SPダミー37"""
38#3,"""ENT_SPダミー38"""
39#3,"""ENT_SPダミー39"""
40#3,"""ENT_SPダミー40"""
41#3,"""ENT_SPダミー41"""
42#3,"""ENT_SPダミー42"""
43#3,"""ENT_SPダミー43"""
44#3,"""ENT_SPダミー44"""
45#3,"""ENT_SPダミー45"""
46#3,"""ENT_SPダミー46"""
47#3,"""ENT_SPダミー47"""
48#3,"""ENT_SPダミー48"""
49#3,"""ENT_SPダミー49"""
50#3,"""ENT_SPダミー50"""
51#3,"""ENT_SPダミー51"""
52#3,"""ENT_SPダミー52"""
53#3,"""ENT_SPダミー53"""
54#3,"""ENT_SPダミー54"""
55#2,"""ENT_SPダミー55"""
56#2,"""ENT_SPダミー56"""
57#2,"""ENT_SPダミー57"""
58#2,"""ENT_SPダミー58"""
59#2,"""ENT_SPダミー59"""
60#2,"""ENT_SPダミー60"""
61#2,"""ENT_SPダミー61"""
62#2,"""ENT_SPダミー62"""
63#2,"""ENT_SPダミー63"""
64#2,"""ENT_SPダミー64"""
65#2,"""ENT_SPダミー65"""
66#2,"""ENT_SPダミー66"""
67#2,"""ENT_SPダミー67"""
68#2,"""ENT_SPダミー68"""
69#2,"""ENT_SPダミー69"""
70#1,"""ENT_SPダミー70"""
71#1,"""ENT_SPダミー71"""
72#1,"""ENT_SPダミー72"""
73#1,"""ENT_SPダミー73"""
74#1,"""ENT_SPダミー74"""
75#1,"""ENT_SPダミー75"""
76#1,"""ENT_SPダミー76"""
77#1,"""ENT_SPダミー77"""
78#1,"""ENT_SPダミー78"""
79#1,"""ENT_SPダミー79"""
80#1,"""ENT_SPダミー80"""
81#1,"""ENT_SPダミー81"""
82#1,"""ENT_SPダミー82"""
83#1,"""ENT_SPダミー83"""
84#1,"""ENT_SPダミー84"""
85#1,"""ENT_SPダミー85"""
86#1,"""Meseta Fevew I"""
87#1,"""Meseta Fevew II"""
88#1,"""Meseta Fevew III"""
89#1,"""ENT_SPダミー89"""
90#1,"""ENT_SPダミー90"""
91#1,"""EXP Boost I"""
92#1,"""Anothew Histowy"""
93#1,"""EXP Boost II"""
94#1,"""EXP Boost III"""
95#1,"""ENT_SPダミー95"""
96#1,"""Wucky Wise I"""
97#1,"""Temptation"""
98#1,"""Wucky Wise II"""
99#1,"""Wucky Wise III"""
100#1,"""ENT_SPダミー100"""
101#1,"""ENT_SPダミー101"""
102#1,"""ENT_SPダミー102"""
103#1,"""ENT_SPダミー103"""
104#1,"""ENT_SPダミー104"""
105#1,"""ENT_SPダミー105"""
106#1,"""ENT_SPダミー106"""
107#1,"""ENT_SPダミー107"""
108#1,"""ENT_SPダミー108"""
109#1,"""ENT_SPダミー109"""
110#1,"""ENT_SPダミー110"""
111#1,"""ENT_SPダミー111"""
112#1,"""ENT_SPダミー112"""
113#1,"""ENT_SPダミー113"""
114#1,"""ENT_SPダミー114"""
115#1,"""ENT_SPダミー115"""
116#1,"""ENT_SPダミー116"""
117#1,"""ENT_SPダミー117"""
118#1,"""ENT_SPダミー118"""
119#1,"""ENT_SPダミー119"""
120#1,"""ENT_SPダミー120"""
121#1,"""ENT_SPダミー121"""
122#1,"""ENT_SPダミー122"""
123#1,"""ENT_SPダミー123"""
124#1,"""ENT_SPダミー124"""
125#1,"""ENT_SPダミー125"""
126#1,"""ENT_SPダミー126"""
127#1,"""ENT_SPダミー127"""
128#1,"""ENT_SPダミー128"""
129#1,"""ENT_SPダミー129"""
130#1,"""ENT_SPダミー130"""
131#1,"""ENT_SPダミー131"""
132#1,"""ENT_SPダミー132"""
133#1,"""ENT_SPダミー133"""
134#1,"""Fwesh Sign"""
135#1,"""-"""
136#1,"""-"""
137#1,"""-"""
138#1,"""-"""
139#1,"""-"""
140#1,"""Empew Embwace"""
141#1,"""NT Weapon Boost"""
142#1,"""Powytan Smiwe"""
0#4,"""-"""
1#4,"""-"""
2#4,"""-"""
3#4,"""-"""
4#4,"""-"""
5#4,"""-"""
6#4,"""-"""
7#4,"""-"""
8#4,"""-"""
9#4,"""-"""
10#4,"""-"""
11#4,"""-"""
12#4,"""-"""
13#4,"""-"""
14#4,"""-"""
15#4,"""-"""
16#4,"""-"""
17#4,"""-"""
18#4,"""-"""
19#4,"""-"""
20#4,"""-"""
21#4,"""-"""
22#4,"""-"""
23#4,"""-"""
24#4,"""-"""
25#4,"""-"""
26#4,"""-"""
27#4,"""-"""
28#4,"""-"""
29#4,"""-"""
30#4,"""-"""
31#4,"""-"""
32#4,"""-"""
33#4,"""-"""
34#4,"""-"""
35#4,"""-"""
36#4,"""-"""
37#4,"""-"""
38#4,"""-"""
39#4,"""-"""
40#4,"""-"""
41#4,"""-"""
42#4,"""-"""
43#4,"""-"""
44#4,"""-"""
45#4,"""-"""
46#4,"""-"""
47#4,"""-"""
48#4,"""-"""
49#4,"""-"""
50#4,"""-"""
51#4,"""-"""
52#4,"""-"""
53#4,"""-"""
54#4,"""-"""
55#3,"""-"""
56#3,"""-"""
57#3,"""-"""
58#3,"""-"""
59#3,"""-"""
60#3,"""-"""
61#3,"""-"""
62#3,"""-"""
63#3,"""-"""
64#3,"""-"""
65#3,"""-"""
66#3,"""-"""
67#3,"""-"""
68#3,"""-"""
69#3,"""-"""
70#2,"""-"""
71#2,"""-"""
72#2,"""-"""
73#2,"""-"""
74#2,"""-"""
75#2,"""-"""
76#2,"""-"""
77#2,"""-"""
78#2,"""-"""
79#2,"""-"""
80#2,"""-"""
81#2,"""-"""
82#2,"""-"""
83#2,"""-"""
84#2,"""-"""
85#2,"""-"""
86#2,"""-"""
87#2,"""-"""
88#2,"""-"""
89#2,"""-"""
90#2,"""-"""
91#2,"""-"""
92#2,"""-"""
93#2,"""-"""
94#2,"""-"""
95#2,"""-"""
96#2,"""-"""
97#2,"""-"""
98#2,"""-"""
99#2,"""-"""
100#2,"""Uwtimate Bustew"""
101#2,"""Phwase Weak"""
102#2,"""Phwase Wesponse"""
103#2,"""Phwase Wecuvwy"""
104#2,"""Phwase Chase"""
105#2,"""Phwase Weduce"""
106#2,"""Omega Bustew"""
107#2,"""Phwase Decay"""
108#2,"""-"""
109#2,"""-"""
110#2,"""-"""
111#2,"""-"""
112#2,"""-"""
113#2,"""-"""
114#2,"""-"""
115#2,"""-"""
116#2,"""-"""
117#2,"""-"""
118#2,"""-"""
119#2,"""-"""
120#2,"""-"""
121#2,"""-"""
122#2,"""-"""
123#2,"""-"""
124#2,"""-"""
125#2,"""-"""
126#2,"""-"""
127#2,"""-"""
128#2,"""-"""
129#2,"""-"""
130#2,"""-"""
131#2,"""S2:Stuwdy Wecuvwy"""
132#2,"""-"""
133#2,"""S1:Offensive Intent"""
134#2,"""-"""
135#2,"""S3:Offensive Intent"""
136#2,"""S1:Photon Weduction"""
137#2,"""S2:Photon Weduction"""
138#2,"""-"""
139#2,"""-"""
140#2,"""-"""
141#2,"""S3:Vitaw Intent"""
142#2,"""-"""
143#1,"""S2:Cuwsed Wadiance"""
144#1,"""-"""
145#1,"""S1:Wise Skiww"""
146#1,"""S2:Wise Skiww"""
147#1,"""-"""
148#1,"""-"""
149#1,"""S2:Wadiant Stwike"""
150#1,"""S3:Wadiant Stwike"""
151#1,"""-"""
152#1,"""S2:Guawdian Awmow"""
153#1,"""S3:Guawdian Awmow"""
154#1,"""-"""
155#1,"""-"""
156#1,"""S3:Skiwwed Stwike"""
157#1,"""S1:Skiwwed Bwiwwiance"""
158#1,"""-"""
159#1,"""-"""
160#1,"""S1:Doubwe-Edged Swowd"""
161#1,"""-"""
162#1,"""-"""
163#1,"""S1:Wadiating Gwace"""
164#1,"""-"""
165#1,"""S3:Wadiating Gwace"""
166#1,"""-"""
167#1,"""S2:Fwowing Exhiwawation"""
168#1,"""S3:Fwowing Exhiwawation"""
169#1,"""S4:Mawvewous Aegis"""
170#1,"""S4:Steew Wesowve"""
171#1,"""S4:Wadiant Wesponse"""
172#1,"""S4:Opposing Skiww"""
173#1,"""S4:Scything Wind"""
174#1,"""S4:Cunning Stwike"""
175#1,"""S4:Vampiwic Stwike"""
176#1,"""S4:Steadfast Couwage"""
177#1,"""S4:Wustwous Twap"""
178#1,"""S4:Dynamic Chain"""
179#1,"""S4:Wefined Pwovidence"""
180#1,"""S4:Ciwcuit Wotation"""
181#1,"""S4:Swift Stwike"""
182#1,"""S4:Geaw Weduction"""
183#1,"""S4:Wapid-fiwe Awwow"""
184#1,"""S4:Suppowt Extension"""
185#1,"""S4:Genesis Wing"""
186#1,"""-"""
187#1,"""S2:Immediate Pwofusion"""
188#1,"""-"""
189#1,"""S1:Immediate Intent"""
190#1,"""-"""
191#1,"""-"""
192#1,"""-"""
193#1,"""S2:Spiwited Wesponse"""
194#1,"""-"""
195#1,"""S1:Bwiwwiant Wuin"""
196#1,"""-"""
197#1,"""-"""
198#1,"""-"""
199#1,"""-"""
200#1,"""隣闘連陣"""
201#1,"""負滅牙"""
202#1,"""原生滅牙"""
203#1,"""機甲滅牙"""
204#1,"""龍滅牙"""
205#1,"""海王滅牙"""
206#1,"""妖滅牙"""
207#1,"""壊世滅牙"""
208#1,"""属性値強化"""
209#1,"""背水陣"""
210#1,"""常昂気功"""
211#1,"""必撃衝打"""
212#1,"""古の誓い"""
213#1,"""追の衝撃"""
214#1,"""強闘心"""
215#1,"""瞬闇の翼"""
216#1,"""心血万全の剛力"""
217#1,"""限界駆動"""
218#1,"""幻精天恵"""
219#1,"""青息の施し"""
220#1,"""止息の施し"""
221#1,"""安息の施し"""
222#1,"""慈愛の風"""
223#1,"""修羅の構え"""
224#1,"""絶強印"""
225#1,"""絶対障壁"""
226#1,"""集気光"""
227#1,"""調甲変換"""
228#1,"""共闘の調べ"""
229#1,"""共奏の輝き"""
230#1,"""一心同体の功"""
231#1,"""再起の旋風"""
232#1,"""Attwibute Change (Fiwe)"""
233#1,"""Attwibute Change (Ice)"""
234#1,"""Attwibute Change (Wightning)"""
235#1,"""Attwibute Change (Wind)"""
236#1,"""Attwibute Change (Wight)"""
237#1,"""Attwibute Change (Dawk)"""
238#1,"""幻創滅牙"""
239#1,"""Cwiticaw I"""
240#1,"""PP Swayew"""
241#1,"""PP Muwti Effect"""
242#1,"""遠距離支援"""
243#1,"""PP Ovew Swayew"""
244#1,"""アルターエゴ強化"""
245#1,"""魔物滅牙"""
246#1,"""障壁強化"""
247#1,"""Site Destwuction Bonus"""
248#1,"""周囲エネミー数ボーナス"""
249#1,"""Kiww Count"""
250#1,"""心血万全の剛力２"""
251#1,"""強闘心２"""
252#1,"""PP Swayew 2"""
253#1,"""遠距離支援２"""
254#1,"""-"""
255#1,"""-"""
256#1,"""-"""
257#1,"""-"""
258#1,"""-"""
259#1,"""-"""
260#1,"""-"""
261#1,"""-"""
262#1,"""-"""
263#1,"""-"""
264#1,"""-"""
265#1,"""-"""
266#1,"""-"""
267#1,"""-"""
268#1,"""-"""
269#1,"""-"""
270#1,"""-"""
271#1,"""-"""
272#1,"""-"""
273#1,"""-"""
274#1,"""-"""
275#1,"""-"""
276#1,"""-"""
277#1,"""-"""
278#1,"""-"""
279#1,"""-"""
280#1,"""-"""
281#1,"""-"""
282#1,"""-"""
283#1,"""-"""
284#1,"""-"""
285#1,"""-"""
286#1,"""-"""
287#1,"""-"""
288#1,"""-"""
289#1,"""-"""
290#1,"""-"""
291#1,"""-"""
292#1,"""-"""
293#1,"""-"""
294#1,"""-"""
295#1,"""-"""
296#1,"""-"""
297#0,"""-"""
298#0,"""-"""
299#0,"""-"""
300#0,"""-"""
301#0,"""-"""
302#0,"""-"""
303#0,"""-"""
304#0,"""-"""
305#0,"""-"""
306#0,"""-"""
307#0,"""-"""
308#0,"""-"""
309#0,"""-"""
310#0,"""-"""
311#0,"""-"""
312#0,"""-"""
313#0,"""-"""
314#0,"""-"""
315#0,"""-"""
316#0,"""-"""
317#0,"""-"""
318#0,"""-"""
319#0,"""-"""
320#0,"""-"""
321#0,"""-"""
322#0,"""-"""
323#0,"""-"""
324#0,"""-"""
325#0,"""-"""
326#0,"""-"""
327#0,"""-"""
328#0,"""-"""
329#0,"""-"""
330#0,"""-"""
331#0,"""-"""
332#0,"""-"""
333#0,"""-"""
334#0,"""-"""
335#0,"""-"""
336#0,"""-"""
337#0,"""-"""
338#0,"""-"""
339#0,"""-"""
340#0,"""-"""
341#0,"""-"""
342#0,"""-"""
343#0,"""-"""
344#0,"""-"""
345#0,"""-"""
346#0,"""-"""
347#0,"""-"""
348#0,"""-"""
349#0,"""-"""
350#0,"""-"""
351#0,"""-"""
352#0,"""S2:Fwowing Gwace"""
353#0,"""-"""
354#0,"""-"""
355#0,"""-"""
356#0,"""-"""
357#0,"""-"""
358#0,"""-"""
359#0,"""-"""
360#0,"""-"""
361#0,"""-"""
362#0,"""-"""
363#0,"""-"""
364#0,"""-"""
365#0,"""-"""
366#0,"""-"""
367#0,"""-"""
368#0,"""-"""
369#0,"""-"""
370#0,"""-"""
371#0,"""-"""
372#0,"""-"""
373#0,"""-"""
